,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,32586606000.0,33324574000.0,29532330000.0,30650673000.0,31103578000.0
1,0,Real estate properties,34252521000.0,35126344000.0,31318532000.0,33463124000.0,35226089000.0
2,0,Accumulated depreciation,-9068388000.0,-10067743000.0,-8950747000.0,-9915386000.0,-10865754000.0
3,0,"Real estate properties, net",25184133000.0,25058601000.0,22367785000.0,23547738000.0,24360335000.0
4,0,Cash and cash equivalents,1184518000.0,1716863000.0,612282000.0,701134000.0,560059000.0
5,0,Receivables,521301000.0,581482000.0,580197000.0,624605000.0,664619000.0
6,0,Intangible assets,,409385000.0,311794000.0,275680000.0,285137000.0
7,0,Other assets,5696654000.0,5558243000.0,5660272000.0,5501516000.0,5233428000.0
8,0,Total assets,32586606000.0,33324574000.0,29532330000.0,30650673000.0,31103578000.0
9,9,Liabilities and stockholders' equity,32586606000.0,33324574000.0,29532330000.0,30650673000.0,31103578000.0
10,9,Liabilities,26676003000.0,27475168000.0,24439153000.0,26179209000.0,26793130000.0
11,10,Long-term debt,23837751000.0,23588531000.0,20852993000.0,22502173000.0,22977104000.0
12,10,Payables and accrued expenses,1374172000.0,1374113000.0,1259681000.0,1323801000.0,1214022000.0
13,10,Other liabilities,1464080000.0,2512524000.0,2326479000.0,2353235000.0,2602004000.0
14,10,Total liabilities,26676003000.0,27475168000.0,24439153000.0,26179209000.0,26793130000.0
15,9,Stockholders' equity,5910603000.0,5849406000.0,5093177000.0,4471464000.0,4310448000.0
16,15,Preferred stock,44719000.0,44390000.0,44062000.0,43733000.0,43405000.0
17,15,Common stock,31000.0,31000.0,31000.0,31000.0,32000.0
18,15,Additional paid-in capital,9175724000.0,9217363000.0,9422237000.0,9384450000.0,9523086000.0
19,15,Retained earnings,-3083190000.0,-3218686000.0,-4208183000.0,-4266930000.0,-4459387000.0
20,15,Treasury stock,-135781000.0,-117897000.0,-103929000.0,-437134000.0,-682562000.0
21,15,Accumulated other comprehensive income,-90900000.0,-75795000.0,-61041000.0,-252686000.0,-114126000.0
22,15,Total stockholders' equity,5910603000.0,5849406000.0,5093177000.0,4471464000.0,4310448000.0
23,9,Total liabilities and stockholders' equity,32586606000.0,33324574000.0,29532330000.0,30650673000.0,31103578000.0
