,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,4880084000.0,5170138000.0,4870818000.0,5266103000.0,5435229000.0,5536914000.0
1,1,Expenses,2659484000.0,2754449000.0,2485476000.0,2597230000.0,2714401000.0,2783526000.0
2,1,Operating expenses,985887000.0,1136977000.0,986459000.0,1069663000.0,1095439000.0,1140397000.0
3,1,Depreciation and amortization,1257569000.0,1290528000.0,1143827000.0,1177568000.0,1252673000.0,1286982000.0
4,1,"Sales, General and administrative",416028000.0,326944000.0,355190000.0,349999000.0,366289000.0,356147000.0
5,1,Total expenses,2659484000.0,2754449000.0,2485476000.0,2597230000.0,2714401000.0,2783526000.0
6,6,Operating income,2220600000.0,2415689000.0,2385342000.0,2668873000.0,2720828000.0,2753388000.0
7,7,Interest expenses,1127025000.0,1137139000.0,992601000.0,923697000.0,857554000.0,813914000.0
8,8,Other income (expense),0.0,312774000.0,99201000.0,163853000.0,216557000.0,106161000.0
9,9,Income before income taxes,1093575000.0,1591324000.0,1491942000.0,1909029000.0,2079831000.0,2045635000.0
10,10,Provision for income taxes,15880000.0,39734000.0,28085000.0,20170000.0,29678000.0,18033000.0
11,11,Other income,641937000.0,0.0,158308000.0,250516000.0,84553000.0,13083000.0
12,12,Net income from continuing operations,1719632000.0,1551590000.0,1622165000.0,2139375000.0,2134706000.0,2040685000.0
13,13,Net income from discontinuing ops,,,29361000.0,,,
14,14,Other,-285136000.0,-231949000.0,-242938000.0,-311655000.0,-295810000.0,-269408000.0
15,15,Net income,1434496000.0,1319641000.0,1408588000.0,1827720000.0,1838896000.0,1771277000.0
16,16,Preferred distributions,3337000.0,3337000.0,3337000.0,3337000.0,3337000.0,3337000.0
17,17,Net income available to common shareholders,1431159000.0,1316304000.0,1405251000.0,1824383000.0,1835559000.0,1767940000.0
18,18,Earnings per share,,,,,,
19,19,Basic,4.72,4.24,4.52,5.88,5.87,5.67
20,20,Diluted,4.72,4.24,4.52,5.88,5.87,5.67
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,303137350.0,310255168.0,310731032.0,310102746.0,312691000.0,312228530.0
23,23,Diluted,303138422.0,310255218.0,310731032.0,310102746.0,312691000.0,312228530.0
24,24,EBITDA,3521904000.0,4061413000.0,3770327000.0,4071940000.0,4265331000.0,4227784000.0
