,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,1267000000.0,816000000.0,1209000000.0,195000000.0,1464000000.0,1410000000.0
1,0,Net income,,1466000000.0,-13000000.0,1268000000.0,2228000000.0,1908000000.0
2,0,(Gain) Loss from discontinued operations,,563000000.0,178000000.0,0.0,0.0,
3,0,Depreciation & amortization,141000000.0,137000000.0,134000000.0,157000000.0,181000000.0,181000000.0
4,0,Deferred tax (benefit) expense,53000000.0,43000000.0,-245000000.0,280000000.0,79000000.0,
5,0,Stock based compensation,93000000.0,99000000.0,100000000.0,78000000.0,76000000.0,87000000.0
6,0,Receivable,-239000000.0,-35000000.0,-9000000.0,-118000000.0,-177000000.0,-215000000.0
7,0,Prepaid expenses,3000000.0,-29000000.0,-7000000.0,-4000000.0,-2000000.0,-4000000.0
8,0,Payables,119000000.0,,,,,
9,0,Accrued liabilities,,,,-1624000000.0,-150000000.0,-20000000.0
10,0,Income taxes payable,119000000.0,,,,,
11,0,Other assets and liabilities,-316000000.0,-436000000.0,-251000000.0,-15000000.0,237000000.0,-321000000.0
12,0,Other operating activities,1294000000.0,-992000000.0,1322000000.0,173000000.0,-1008000000.0,-206000000.0
13,0,Net cash provided by operating activities,1267000000.0,816000000.0,1209000000.0,195000000.0,1464000000.0,1410000000.0
14,14,Cash Flows From Investing Activities,-445000000.0,-130000000.0,-65000000.0,-2525000000.0,1205000000.0,192000000.0
15,14,Acquisitions and dispositions,-177000000.0,4000000.0,-71000000.0,-2382000000.0,-177000000.0,-112000000.0
16,14,Other investing activities,-268000000.0,-134000000.0,6000000.0,-143000000.0,1382000000.0,304000000.0
17,14,Net cash used for investing activities,-445000000.0,-130000000.0,-65000000.0,-2525000000.0,1205000000.0,192000000.0
18,18,Cash Flows From Financing Activities,-917000000.0,-1743000000.0,-462000000.0,1510000000.0,-1600000000.0,-1707000000.0
19,18,Change in short-term borrowing,57000000.0,-457000000.0,0.0,143000000.0,-564000000.0,-421000000.0
20,18,Repurchases of treasury stock,-295000000.0,-1192000000.0,-362000000.0,-990000000.0,-1123000000.0,-846000000.0
21,18,Cash dividends paid,-984000000.0,-308000000.0,-326000000.0,-363000000.0,-380000000.0,-410000000.0
22,18,Other financing activities,305000000.0,214000000.0,226000000.0,2720000000.0,467000000.0,-30000000.0
23,18,Net cash provided by (used for) financing activities,-917000000.0,-1743000000.0,-462000000.0,1510000000.0,-1600000000.0,-1707000000.0
24,24,Effect of exchange rate changes,20000000.0,-1000000.0,-65000000.0,-67000000.0,-158000000.0,18000000.0
25,25,Net cash provided by (used in) discontinued operations,,1840000000.0,338000000.0,-129000000.0,0.0,
26,26,Net change in cash,-75000000.0,782000000.0,955000000.0,-1016000000.0,911000000.0,-87000000.0
27,27,Cash at beginning of period,835000000.0,760000000.0,1542000000.0,2497000000.0,1481000000.0,2399000000.0
28,28,Cash at end of period,760000000.0,1542000000.0,2497000000.0,1481000000.0,2392000000.0,2312000000.0
29,29,Supplemental schedule of cash flow data,,,,,,
30,30,Cash paid for income taxes,243000000.0,787000000.0,419000000.0,260000000.0,683000000.0,
