Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,,0.0,,,,,,,,,
Gross Margin %,,100.0,,,,,,,,,
Operating Income GBP Mil,-1.0,-1.0,-2.0,-2.0,-1.0,-3.0,-7.0,-3.0,1.0,-2.0,-2.0
Operating Margin %,,,,,,,,,,,
Net Income GBP Mil,-1.0,-1.0,-2.0,-3.0,-0.0,10.0,-4.0,-2.0,-0.0,-2.0,1.0
Earnings Per Share GBP,-0.01,,,-0.01,,0.02,-0.01,-0.52,,,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,200.0,234.0,239.0,284.0,321.0,446.0,467.0,467.0,492.0,497.0,502.0
Book Value Per Share * GBP,0.04,0.04,0.03,0.02,0.02,0.06,0.06,0.04,0.04,0.04,0.05
Operating Cash Flow GBP Mil,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-4.0,-3.0,-3.0,-2.0,-1.0
Cap Spending GBP Mil,-1.0,-2.0,-1.0,-2.0,-5.0,-5.0,-6.0,-3.0,-1.0,-1.0,-0.0
Free Cash Flow GBP Mil,-2.0,-4.0,-2.0,-4.0,-6.0,-8.0,-9.0,-6.0,-4.0,-3.0,-1.0
Free Cash Flow Per Share * GBP,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,0.01,-0.04,-0.01,-0.01,
Working Capital GBP Mil,7.0,4.0,2.0,1.0,2.0,17.0,10.0,5.0,5.0,3.0,
