,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,2010000000.0,4208000000.0,-1182000000.0,3496000000.0,-681000000.0,1991000000.0
1,0,Net income,1984000000.0,1361000000.0,1785000000.0,1943000000.0,1887000000.0,2007000000.0
2,0,Provision for credit losses,2248000000.0,719000000.0,376000000.0,176000000.0,449000000.0,438000000.0
3,0,Depreciation & amortization,757000000.0,708000000.0,693000000.0,786000000.0,725000000.0,732000000.0
4,0,Investment/asset impairment charges,7000000.0,0.0,0.0,,,
5,0,Deferred tax (benefit) expense,194000000.0,495000000.0,99000000.0,21000000.0,111000000.0,
6,0,Investments (gains) losses,-1974000000.0,-2000000.0,15000000.0,-21000000.0,-4000000.0,-1000000.0
7,0,(Gains) loss on disposition of businesses,,,-105000000.0,,0.0,
8,0,Stock based compensation,35000000.0,34000000.0,54000000.0,89000000.0,126000000.0,162000000.0
9,0,Loans,194000000.0,2104000000.0,-1567000000.0,1625000000.0,-1819000000.0,1316000000.0
10,0,Other assets and liabilities,-52000000.0,-592000000.0,-2011000000.0,-530000000.0,-1416000000.0,-2163000000.0
11,0,Other operating activities,-1383000000.0,-619000000.0,-521000000.0,-593000000.0,-740000000.0,-500000000.0
12,0,Net cash provided by operating activities,2010000000.0,4208000000.0,-1182000000.0,3496000000.0,-681000000.0,1991000000.0
13,13,Cash Flows From Investing Activities,4743000000.0,-8941000000.0,-9273000000.0,-5316000000.0,-11157000000.0,-6212000000.0
14,13,Sales/maturity of investments,12259000000.0,8067000000.0,7614000000.0,8388000000.0,5305000000.0,6000000000.0
15,13,Purchases of investments,-5814000000.0,-9215000000.0,-11039000000.0,-9882000000.0,-8610000000.0,-8657000000.0
16,13,"Changes in loans, net",-1484000000.0,-7590000000.0,-5753000000.0,-3770000000.0,-7420000000.0,-3214000000.0
17,13,Acquisitions and dispositions,-12000000.0,-3000000.0,182000000.0,-30000000.0,-211000000.0,-188000000.0
18,13,"Purchases of intangibles, net",,,-130000000.0,-117000000.0,-171000000.0,-70000000.0
19,13,Other investing activities,-206000000.0,-200000000.0,-147000000.0,95000000.0,-50000000.0,-83000000.0
20,13,Net cash used for investing activities,4743000000.0,-8941000000.0,-9273000000.0,-5316000000.0,-11157000000.0,-6212000000.0
21,21,Cash Flows From Financing Activities,-3005000000.0,1739000000.0,13421000000.0,-810000000.0,12662000000.0,2759000000.0
22,21,Change in deposits,4394000000.0,-2557000000.0,10808000000.0,9263000000.0,10568000000.0,3895000000.0
23,21,Change in federal funds purchased,-5972000000.0,3245000000.0,447000000.0,-4559000000.0,37000000.0,
24,21,Long-term debt issued,4000000000.0,1564000000.0,2574000000.0,1351000000.0,6705000000.0,4404000000.0
25,21,Long-term debt repayment,-5772000000.0,-155000000.0,-53000000.0,-5684000000.0,-3231000000.0,-4856000000.0
26,21,Excess tax benefit from stock based compensation,,,,20000000.0,,
27,21,Preferred stock issued,438000000.0,0.0,496000000.0,,0.0,743000000.0
28,21,Repurchases of treasury stock,,-150000000.0,-458000000.0,-679000000.0,-830000000.0,-1224000000.0
29,21,Cash dividends paid,-119000000.0,-225000000.0,-409000000.0,-539000000.0,-564000000.0,-637000000.0
30,21,Other financing activities,26000000.0,17000000.0,16000000.0,17000000.0,-23000000.0,434000000.0
31,21,Net cash provided by (used for) financing activities,-3005000000.0,1739000000.0,13421000000.0,-810000000.0,12662000000.0,2759000000.0
32,32,Net change in cash,3748000000.0,-2994000000.0,2966000000.0,-2630000000.0,824000000.0,-1462000000.0
33,33,Cash at beginning of period,4509000000.0,8257000000.0,5263000000.0,8229000000.0,5599000000.0,9740000000.0
34,34,Cash at end of period,8257000000.0,5263000000.0,8229000000.0,5599000000.0,6423000000.0,8278000000.0
