,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,222582000000.0,243291000000.0,274119000000.0,245192000000.0,242698000000.0
1,0,Cash and cash equivalents,53353000000.0,67477000000.0,95378000000.0,76545000000.0,72249000000.0
2,0,Federal funds sold,5016000000.0,6230000000.0,2390000000.0,3404000000.0,1956000000.0
3,0,Receivables,1970000000.0,2123000000.0,2242000000.0,2346000000.0,2644000000.0
4,0,Investments,121698000000.0,117757000000.0,113560000000.0,100871000000.0,98191000000.0
5,0,Loans,12285000000.0,13458000000.0,18161000000.0,18753000000.0,19704000000.0
6,0,Property and equipment,1728000000.0,1860000000.0,1937000000.0,1894000000.0,2062000000.0
7,0,Goodwill,5977000000.0,6036000000.0,5826000000.0,5671000000.0,5814000000.0
8,0,Other intangible assets,2539000000.0,2360000000.0,2025000000.0,1768000000.0,1750000000.0
9,0,Other assets,18016000000.0,25990000000.0,32600000000.0,33940000000.0,38328000000.0
10,0,Total assets,222582000000.0,243291000000.0,274119000000.0,245192000000.0,242698000000.0
11,11,Liabilities and stockholders' equity,222582000000.0,243291000000.0,274119000000.0,245192000000.0,242698000000.0
12,11,Liabilities,201713000000.0,222913000000.0,252646000000.0,224089000000.0,221479000000.0
13,12,Deposits,164181000000.0,182268000000.0,209040000000.0,191627000000.0,187163000000.0
14,12,Short-term borrowing,4502000000.0,3780000000.0,4381000000.0,1748000000.0,1585000000.0
15,12,Payables and accrued expenses,,,,,16901000000.0
16,12,Long-term debt,7429000000.0,9699000000.0,10042000000.0,11534000000.0,11430000000.0
17,12,Minority Interest,,,,32000000.0,0.0
18,12,Other liabilities,25601000000.0,27166000000.0,29183000000.0,19148000000.0,4400000000.0
19,12,Total liabilities,201713000000.0,222913000000.0,252646000000.0,224089000000.0,221479000000.0
20,11,Stockholders' equity,20869000000.0,20378000000.0,21473000000.0,21103000000.0,21219000000.0
21,20,Preferred stock,489000000.0,491000000.0,1961000000.0,2703000000.0,3196000000.0
22,20,Common stock,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0
23,20,Additional paid-in capital,9667000000.0,9776000000.0,9791000000.0,9746000000.0,9782000000.0
24,20,Retained earnings,11751000000.0,13395000000.0,14882000000.0,16049000000.0,17459000000.0
25,20,Treasury stock,-1902000000.0,-3693000000.0,-5158000000.0,-6457000000.0,-7682000000.0
26,20,Accumulated other comprehensive income,360000000.0,-95000000.0,-507000000.0,-1442000000.0,-2040000000.0
27,20,Total stockholders' equity,20869000000.0,20378000000.0,21473000000.0,21103000000.0,21219000000.0
28,11,Total liabilities and stockholders' equity,222582000000.0,243291000000.0,274119000000.0,245192000000.0,242698000000.0
