,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,7638100000.0,14302100000.0,15144500000.0,16965000000.0,18602400000.0
1,0,Current assets,2471200000.0,2747200000.0,2910800000.0,2977600000.0,3230000000.0
2,1,Cash,331500000.0,63900000.0,110100000.0,83100000.0,177400000.0
3,2,Cash and cash equivalents,331500000.0,63900000.0,110100000.0,83100000.0,177400000.0
4,2,Total cash,331500000.0,63900000.0,110100000.0,83100000.0,177400000.0
5,1,Receivables,471900000.0,626200000.0,598900000.0,732500000.0,737000000.0
6,1,Inventories,1480900000.0,1743800000.0,1827200000.0,1851600000.0,1955100000.0
7,1,Prepaid expenses,186900000.0,313300000.0,374600000.0,310400000.0,136100000.0
8,1,Other current assets,0.0,0.0,0.0,0.0,224400000.0
9,1,Total current assets,2471200000.0,2747200000.0,2910800000.0,2977600000.0,3230000000.0
10,0,Non-current assets,5166900000.0,11554900000.0,12233700000.0,13987400000.0,15372400000.0
11,10,"Property, plant and equipment",1229000000.0,2014300000.0,2681600000.0,3333400000.0,3932800000.0
12,11,"Gross property, plant and equipment",2046900000.0,2939000000.0,3731800000.0,4512700000.0,5209800000.0
13,11,Accumulated Depreciation,-817900000.0,-924700000.0,-1050200000.0,-1179300000.0,-1277000000.0
14,11,"Net property, plant and equipment",1229000000.0,2014300000.0,2681600000.0,3333400000.0,3932800000.0
15,10,Goodwill,2722300000.0,6146800000.0,6208200000.0,7138600000.0,7920500000.0
16,10,Intangible assets,871400000.0,3231100000.0,3181000000.0,3403800000.0,3377700000.0
17,10,Other long-term assets,344200000.0,162700000.0,162900000.0,111600000.0,141400000.0
18,10,Total non-current assets,5166900000.0,11554900000.0,12233700000.0,13987400000.0,15372400000.0
19,0,Total assets,7638100000.0,14302100000.0,15144500000.0,16965000000.0,18602400000.0
20,20,Liabilities and stockholders' equity,7638100000.0,14302100000.0,15144500000.0,16965000000.0,18602400000.0
21,20,Liabilities,4777800000.0,9320800000.0,9373800000.0,10405400000.0,11711200000.0
22,21,Current liabilities,677900000.0,2025700000.0,1130700000.0,2272300000.0,2697600000.0
23,22,Short-term debt,27600000.0,647200000.0,210500000.0,1265000000.0,1517400000.0
24,22,Accounts payable,209000000.0,295200000.0,285800000.0,429300000.0,559800000.0
25,22,Taxes payable,18900000.0,73100000.0,76900000.0,33600000.0,104800000.0
26,22,Accrued liabilities,422400000.0,401700000.0,418300000.0,173500000.0,475400000.0
27,22,Deferred revenues,,52800000.0,53400000.0,,
28,22,Other current liabilities,0.0,555700000.0,85800000.0,370900000.0,40200000.0
29,22,Total current liabilities,677900000.0,2025700000.0,1130700000.0,2272300000.0,2697600000.0
30,21,Non-current liabilities,4099900000.0,7295100000.0,8243100000.0,8133100000.0,9013600000.0
31,30,Long-term debt,3277800000.0,6373300000.0,7137500000.0,6816200000.0,7720700000.0
32,30,Deferred taxes liabilities,599600000.0,762600000.0,818900000.0,1022200000.0,1133600000.0
33,30,Minority interest,,,110600000.0,132200000.0,-6400000.0
34,30,Other long-term liabilities,222500000.0,159200000.0,176100000.0,162500000.0,165700000.0
35,30,Total non-current liabilities,4099900000.0,7295100000.0,8243100000.0,8133100000.0,9013600000.0
36,21,Total liabilities,4777800000.0,9320800000.0,9373800000.0,10405400000.0,11711200000.0
37,20,Stockholders' equity,2860300000.0,4981300000.0,5770700000.0,6559600000.0,6891200000.0
38,37,Common stock,2700000.0,2800000.0,2800000.0,2900000.0,2900000.0
39,37,Additional paid-in capital,1907100000.0,2116600000.0,2269800000.0,2589000000.0,2755800000.0
40,37,Retained earnings,2495100000.0,4438200000.0,5277500000.0,6090500000.0,7310000000.0
41,37,Treasury stock,-1676700000.0,-1662300000.0,-1648500000.0,-1670300000.0,-2777700000.0
42,37,Accumulated other comprehensive income,132100000.0,86000000.0,-130900000.0,-452500000.0,-399800000.0
43,37,Total stockholders' equity,2860300000.0,4981300000.0,5770700000.0,6559600000.0,6891200000.0
44,20,Total liabilities and stockholders' equity,7638100000.0,14302100000.0,15144500000.0,16965000000.0,18602400000.0
