,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,2796100000.0,4867700000.0,6028000000.0,6548400000.0,7331500000.0,7458500000.0
1,1,Cost of revenue,1687800000.0,2876000000.0,3449400000.0,3606100000.0,3802100000.0,3718800000.0
2,2,Gross profit,1108300000.0,1991700000.0,2578600000.0,2942300000.0,3529400000.0,3739700000.0
3,3,Operating expenses,585400000.0,-446000000.0,1078400000.0,1177200000.0,1130000000.0,1221900000.0
4,3,"Sales, General and administrative",584700000.0,895100000.0,1078400000.0,1177200000.0,1392400000.0,1484300000.0
5,3,"Restructuring, merger and acquisition",700000.0,,,,,
6,3,Other operating expenses,0.0,-1341100000.0,0.0,0.0,-262400000.0,-262400000.0
7,3,Total operating expenses,585400000.0,-446000000.0,1078400000.0,1177200000.0,1130000000.0,1221900000.0
8,8,Operating income,522900000.0,2437700000.0,1500200000.0,1765100000.0,2399400000.0,2517800000.0
9,9,Interest Expense,233900000.0,330900000.0,337700000.0,313900000.0,333300000.0,318300000.0
10,10,Other income (expense),227400000.0,95500000.0,17100000.0,50000000.0,27300000.0,18400000.0
11,11,Income before taxes,516400000.0,2202300000.0,1179600000.0,1501200000.0,2093400000.0,2217900000.0
12,12,Provision for income taxes,128600000.0,259200000.0,343400000.0,440600000.0,554200000.0,443700000.0
13,13,Net income from continuing operations,387800000.0,1943100000.0,836200000.0,1060600000.0,1539200000.0,1774200000.0
14,14,Other,0.0,0.0,3100000.0,-5700000.0,-4100000.0,-14000000.0
15,15,Net income,387800000.0,1943100000.0,839300000.0,1054900000.0,1535100000.0,1760200000.0
16,16,Net income available to common shareholders,387800000.0,1943100000.0,839300000.0,1054900000.0,1535100000.0,1760200000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.15,10.45,4.4,5.42,7.79,9.04
19,19,Diluted,2.04,9.83,4.17,5.18,7.52,8.7
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,182190000.0,188154000.0,192722000.0,196746000.0,199287000.0,196691000.0
22,22,Diluted,190307000.0,197570000.0,201224000.0,203821000.0,204099000.0,201938500.0
23,23,EBITDA,865700000.0,2688500000.0,1719300000.0,2036100000.0,2720600000.0,2857100000.0
