,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,1792000000.0,2291500000.0,3258400000.0,3289000000.0,3651400000.0,3651400000.0
1,1,Cost of revenue,1025400000.0,1268800000.0,1703900000.0,1623800000.0,1809600000.0,1809600000.0
2,2,Gross profit,766600000.0,1022700000.0,1554500000.0,1665200000.0,1841800000.0,1841800000.0
3,3,Operating expenses,421500000.0,457500000.0,531400000.0,546500000.0,588000000.0,588000000.0
4,3,Research and development,226300000.0,252200000.0,303200000.0,312400000.0,355200000.0,355200000.0
5,3,"Sales, General and administrative",159700000.0,179100000.0,191300000.0,195900000.0,204600000.0,204600000.0
6,3,"Restructuring, merger and acquisition",6400000.0,300000.0,3400000.0,4800000.0,600000.0,600000.0
7,3,Other operating expenses,29100000.0,25900000.0,33500000.0,33400000.0,27600000.0,27600000.0
8,3,Total operating expenses,421500000.0,457500000.0,531400000.0,546500000.0,588000000.0,588000000.0
9,9,Operating income,345100000.0,565200000.0,1023100000.0,1118700000.0,1253800000.0,1253800000.0
10,10,Other income (expense),-600000.0,0.0,500000.0,81900000.0,3200000.0,3200000.0
11,11,Income before taxes,344500000.0,565200000.0,1023600000.0,1200600000.0,1257000000.0,1257000000.0
12,12,Provision for income taxes,66400000.0,107500000.0,225300000.0,205400000.0,246800000.0,246800000.0
13,13,Net income from continuing operations,278100000.0,457700000.0,798300000.0,995200000.0,1010200000.0,1010200000.0
14,14,Net income,278100000.0,457700000.0,798300000.0,995200000.0,1010200000.0,1010200000.0
15,15,Net income available to common shareholders,278100000.0,457700000.0,798300000.0,995200000.0,1010200000.0,1010200000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.48,2.44,4.21,5.27,5.48,5.48
18,18,Diluted,1.45,2.38,4.1,5.18,5.41,5.41
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,187500000.0,187200000.0,189500000.0,188700000.0,184300000.0,184300000.0
21,21,Diluted,192200000.0,192600000.0,194900000.0,192100000.0,186700000.0,186700000.0
22,22,EBITDA,447900000.0,687900000.0,1218900000.0,1366500000.0,1508600000.0,1508600000.0
