,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,13206000000.0,15743000000.0,17713000000.0,16247000000.0,20435000000.0
1,0,Current assets,8148000000.0,8335000000.0,9673000000.0,7944000000.0,7861000000.0
2,1,Cash,4285000000.0,3980000000.0,5000000000.0,4079000000.0,3384000000.0
3,2,Cash and cash equivalents,1395000000.0,1339000000.0,1795000000.0,3379000000.0,3316000000.0
4,2,Short-term investments,2890000000.0,2641000000.0,3205000000.0,700000000.0,68000000.0
5,2,Total cash,4285000000.0,3980000000.0,5000000000.0,4079000000.0,3384000000.0
6,1,Receivables,1430000000.0,1518000000.0,1572000000.0,1662000000.0,1967000000.0
7,1,Inventories,1265000000.0,1422000000.0,1588000000.0,1639000000.0,2030000000.0
8,1,Deferred income taxes,811000000.0,880000000.0,989000000.0,,
9,1,Prepaid expenses,,535000000.0,524000000.0,564000000.0,480000000.0
10,1,Other current assets,357000000.0,0.0,0.0,0.0,0.0
11,1,Total current assets,8148000000.0,8335000000.0,9673000000.0,7944000000.0,7861000000.0
12,0,Non-current assets,5058000000.0,7408000000.0,8040000000.0,8303000000.0,12574000000.0
13,12,"Property, plant and equipment",948000000.0,1081000000.0,1098000000.0,1199000000.0,1569000000.0
14,13,"Gross property, plant and equipment",2232000000.0,2497000000.0,2597000000.0,2730000000.0,3161000000.0
15,13,Accumulated Depreciation,-1284000000.0,-1416000000.0,-1499000000.0,-1531000000.0,-1592000000.0
16,13,"Net property, plant and equipment",948000000.0,1081000000.0,1098000000.0,1199000000.0,1569000000.0
17,12,Goodwill,2142000000.0,3844000000.0,4186000000.0,4136000000.0,6356000000.0
18,12,Intangible assets,1424000000.0,1989000000.0,2018000000.0,1794000000.0,3508000000.0
19,12,Other long-term assets,544000000.0,494000000.0,738000000.0,1174000000.0,1141000000.0
20,12,Total non-current assets,5058000000.0,7408000000.0,8040000000.0,8303000000.0,12574000000.0
21,0,Total assets,13206000000.0,15743000000.0,17713000000.0,16247000000.0,20435000000.0
22,22,Liabilities and stockholders' equity,13206000000.0,15743000000.0,17713000000.0,16247000000.0,20435000000.0
23,22,Liabilities,4609000000.0,6696000000.0,9118000000.0,7736000000.0,10885000000.0
24,23,Current liabilities,1876000000.0,2657000000.0,4464000000.0,3503000000.0,3148000000.0
25,24,Short-term debt,,25000000.0,727000000.0,769000000.0,228000000.0
26,24,Accounts payable,288000000.0,314000000.0,329000000.0,410000000.0,437000000.0
27,24,Taxes payable,70000000.0,131000000.0,333000000.0,141000000.0,40000000.0
28,24,Accrued liabilities,1401000000.0,2072000000.0,2944000000.0,2041000000.0,2284000000.0
29,24,Other current liabilities,117000000.0,115000000.0,131000000.0,142000000.0,159000000.0
30,24,Total current liabilities,1876000000.0,2657000000.0,4464000000.0,3503000000.0,3148000000.0
31,23,Non-current liabilities,2733000000.0,4039000000.0,4654000000.0,4233000000.0,7737000000.0
32,31,Long-term debt,1746000000.0,2739000000.0,3246000000.0,3253000000.0,6686000000.0
33,31,Other long-term liabilities,987000000.0,1300000000.0,1408000000.0,980000000.0,1051000000.0
34,31,Total non-current liabilities,2733000000.0,4039000000.0,4654000000.0,4233000000.0,7737000000.0
35,23,Total liabilities,4609000000.0,6696000000.0,9118000000.0,7736000000.0,10885000000.0
36,22,Stockholders' equity,8597000000.0,9047000000.0,8595000000.0,8511000000.0,9550000000.0
37,36,Common stock,38000000.0,38000000.0,38000000.0,37000000.0,37000000.0
38,36,Additional paid-in capital,1098000000.0,1160000000.0,1252000000.0,1321000000.0,1432000000.0
39,36,Retained earnings,7332000000.0,7617000000.0,7559000000.0,7792000000.0,8842000000.0
40,36,Accumulated other comprehensive income,129000000.0,232000000.0,-254000000.0,-639000000.0,-761000000.0
41,36,Total stockholders' equity,8597000000.0,9047000000.0,8595000000.0,8511000000.0,9550000000.0
42,22,Total liabilities and stockholders' equity,13206000000.0,15743000000.0,17713000000.0,16247000000.0,20435000000.0
