,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,3916500000.0,4206100000.0,4146300000.0,3567500000.0,4885000000.0,10717200000.0
1,1,Cost of revenue,2352500000.0,2545600000.0,2493300000.0,2163500000.0,3003100000.0,6204200000.0
2,2,Gross profit,1564000000.0,1660500000.0,1653000000.0,1404000000.0,1881900000.0,4513000000.0
3,3,Operating expenses,696600000.0,854800000.0,926500000.0,882200000.0,-1427500000.0,590500000.0
4,3,"Sales, General and administrative",1126100000.0,1193800000.0,1163900000.0,1051800000.0,1606300000.0,3029700000.0
5,3,"Restructuring, merger and acquisition",,,,,7300000.0,
6,3,Other operating expenses,-429500000.0,-339000000.0,-237400000.0,-169600000.0,-3041100000.0,-2439200000.0
7,3,Total operating expenses,696600000.0,854800000.0,926500000.0,882200000.0,-1427500000.0,590500000.0
8,8,Operating income,867400000.0,805700000.0,726500000.0,521800000.0,3309400000.0,3922500000.0
9,9,Interest Expense,196300000.0,183800000.0,145000000.0,120300000.0,271600000.0,
10,10,Other income (expense),-79000000.0,32600000.0,4800000.0,9200000.0,-2500000.0,-333800000.0
11,11,Income before taxes,592100000.0,654500000.0,586300000.0,410700000.0,3035300000.0,3588700000.0
12,12,Provision for income taxes,154500000.0,84000000.0,69000000.0,51800000.0,1050700000.0,1326100000.0
13,13,Net income from continuing operations,437600000.0,570500000.0,517300000.0,358900000.0,1984600000.0,2262600000.0
14,14,Net income from discontinuing ops,1500000.0,2000000.0,500000.0,3900000.0,-2800000.0,300000.0
15,15,Other,3900000.0,-5200000.0,-3800000.0,-3300000.0,-5900000.0,-19900000.0
16,16,Net income,443000000.0,567300000.0,514000000.0,359500000.0,1975900000.0,2243000000.0
17,17,Net income available to common shareholders,443000000.0,567300000.0,514000000.0,359500000.0,1975900000.0,2243000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,2.45,3.1,2.78,1.94,9.32,10.51
20,20,Diluted,2.44,3.08,2.76,1.93,9.26,10.45
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,180800000.0,183000000.0,184900000.0,185300000.0,212000000.0,215225000.0
23,23,Diluted,181800000.0,184200000.0,186100000.0,186400000.0,213400000.0,216325000.0
24,24,EBITDA,1061100000.0,1158800000.0,1044300000.0,845400000.0,3695300000.0,4708400000.0
