Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,173.0,164.0,133.0,123.0,110.0,87.0,72.0,62.0,54.0,45.0,41.0
Gross Margin %,59.8,57.2,58.2,58.8,59.1,54.3,54.7,49.7,48.8,39.8,35.1
Operating Income EUR Mil,40.0,33.0,23.0,3.0,3.0,50.0,-2.0,-9.0,-11.0,-15.0,-15.0
Operating Margin %,23.3,20.1,17.1,2.5,2.9,58.2,-3.4,-15.2,-19.8,-32.6,-35.6
Net Income EUR Mil,34.0,24.0,16.0,7.0,3.0,47.0,-2.0,-6.0,-9.0,-15.0,-14.0
Earnings Per Share EUR,1.6,1.15,0.76,0.35,0.18,2.46,-0.09,-0.33,-0.49,-0.77,-0.76
Dividends EUR,,,,,,,1.75,0.4,,,
Payout Ratio % *,,,,,,,152.2,,,,
Shares Mil,21.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,
Book Value Per Share * EUR,2.95,4.08,4.53,4.9,2.94,4.13,3.19,2.57,2.17,1.6,0.84
Operating Cash Flow EUR Mil,66.0,32.0,25.0,17.0,1.0,42.0,-6.0,-0.0,-4.0,-5.0,-3.0
Cap Spending EUR Mil,,-5.0,-5.0,-4.0,-3.0,-5.0,-8.0,-6.0,-3.0,-3.0,-2.0
Free Cash Flow EUR Mil,66.0,27.0,20.0,13.0,-1.0,37.0,-13.0,-6.0,-7.0,-7.0,-5.0
Free Cash Flow Per Share * EUR,,3.1,1.27,0.27,0.34,1.6,-0.71,-0.08,-0.34,-0.45,
Working Capital EUR Mil,,46.0,54.0,43.0,31.0,80.0,40.0,29.0,22.0,14.0,
