,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,3794249000.0,4031130000.0,4249913000.0,4104900000.0,4001800000.0,4065000000.0
1,1,Cost of revenue,1630965000.0,1690687000.0,1712738000.0,1613600000.0,1511500000.0,1522700000.0
2,2,Gross profit,2163284000.0,2340443000.0,2537175000.0,2491300000.0,2490300000.0,2542300000.0
3,3,Operating expenses,1466067000.0,2036114000.0,1645746000.0,1731200000.0,1769100000.0,1798500000.0
4,3,"Sales, General and administrative",1466067000.0,1555903000.0,1645746000.0,1731200000.0,1769100000.0,1798500000.0
5,3,Other operating expenses,0.0,480211000.0,0.0,0.0,0.0,0.0
6,3,Total operating expenses,1466067000.0,2036114000.0,1645746000.0,1731200000.0,1769100000.0,1798500000.0
7,7,Operating income,697217000.0,304329000.0,891429000.0,760100000.0,721200000.0,743800000.0
8,8,Interest Expense,59069000.0,62654000.0,62903000.0,49000000.0,46000000.0,
9,9,Other income (expense),5428000.0,13191000.0,-90989000.0,-1200000.0,1400000.0,-38300000.0
10,10,Income before income taxes,643576000.0,254866000.0,737537000.0,709900000.0,676600000.0,705500000.0
11,11,Provision for income taxes,227419000.0,73497000.0,253358000.0,246000000.0,230500000.0,239500000.0
12,12,Net income from continuing operations,416157000.0,181369000.0,484179000.0,463900000.0,446100000.0,466000000.0
13,13,Net income,416157000.0,181369000.0,484179000.0,463900000.0,446100000.0,466000000.0
14,14,Net income available to common shareholders,416157000.0,181369000.0,484179000.0,463900000.0,446100000.0,466000000.0
15,15,Earnings per share,,,,,,
16,16,Basic,3.28,1.42,3.75,3.61,3.57,3.74
17,17,Diluted,3.25,1.41,3.73,3.59,3.55,3.72
18,18,Weighted average shares outstanding,,,,,,
19,19,Basic,126737000.0,127835000.0,129221000.0,128600000.0,125100000.0,124500000.0
20,20,Diluted,127934000.0,128867000.0,129918000.0,129100000.0,125500000.0,125050000.0
21,21,EBITDA,866294000.0,498149000.0,994598000.0,961400000.0,931100000.0,949600000.0
