,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,9511855000.0,10201022000.0,11128381000.0,11499482000.0,12883808000.0
1,0,Current assets,5711543000.0,6067998000.0,6715061000.0,6772560000.0,7750774000.0
2,1,Cash,2047810000.0,2444448000.0,2776398000.0,2447786000.0,3473091000.0
3,2,Cash and cash equivalents,1811957000.0,2149746000.0,2493775000.0,2095473000.0,2929849000.0
4,2,Short-term investments,235853000.0,294702000.0,282623000.0,352313000.0,543242000.0
5,2,Total cash,2047810000.0,2444448000.0,2776398000.0,2447786000.0,3473091000.0
6,1,Receivables,222788000.0,210094000.0,226299000.0,249131000.0,258831000.0
7,1,Inventories,3014214000.0,2966490000.0,3217923000.0,3695113000.0,3644959000.0
8,1,Deferred income taxes,96219000.0,101639000.0,137617000.0,,
9,1,Prepaid expenses,330512000.0,345327000.0,356824000.0,380530000.0,373893000.0
10,1,Total current assets,5711543000.0,6067998000.0,6715061000.0,6772560000.0,7750774000.0
11,0,Non-current assets,3800312000.0,4133024000.0,4413320000.0,4726922000.0,5133034000.0
12,11,"Property, plant and equipment",3223242000.0,3594501000.0,3868365000.0,4137575000.0,4532894000.0
13,12,Land,607759000.0,722645000.0,888580000.0,1013247000.0,1247585000.0
14,12,Fixtures and equipment,3771999000.0,4255210000.0,4671029000.0,5112229000.0,4871764000.0
15,12,Other properties,2514998000.0,2720391000.0,2780932000.0,2943191000.0,2884054000.0
16,12,"Property and equipment, at cost",6894756000.0,7698246000.0,8340541000.0,9068667000.0,9003403000.0
17,12,Accumulated Depreciation,-3671514000.0,-4103745000.0,-4472176000.0,-4931092000.0,-4470509000.0
18,12,"Property, plant and equipment, net",3223242000.0,3594501000.0,3868365000.0,4137575000.0,4532894000.0
19,11,Goodwill,316269000.0,312687000.0,309870000.0,193911000.0,195871000.0
20,11,Intangible assets,0.0,0.0,0.0,149885000.0,0.0
21,11,Deferred income taxes,,31508000.0,24546000.0,13831000.0,6193000.0
22,11,Other long-term assets,260801000.0,194328000.0,210539000.0,231720000.0,398076000.0
23,11,Total non-current assets,3800312000.0,4133024000.0,4413320000.0,4726922000.0,5133034000.0
24,0,Total assets,9511855000.0,10201022000.0,11128381000.0,11499482000.0,12883808000.0
25,25,Liabilities and stockholders' equity,9511855000.0,10201022000.0,11128381000.0,11499482000.0,12883808000.0
26,25,Liabilities,5845918000.0,5971129000.0,6864151000.0,7192407000.0,8373209000.0
27,26,Current liabilities,3760596000.0,3517843000.0,3929634000.0,4402230000.0,4757656000.0
28,27,Accounts payable,1930568000.0,1771294000.0,2007511000.0,2203050000.0,2230904000.0
29,27,Taxes payable,273686000.0,167287000.0,450641000.0,264056000.0,405890000.0
30,27,Accrued liabilities,941603000.0,967198000.0,798539000.0,1282822000.0,1402849000.0
31,27,Other current liabilities,614739000.0,612064000.0,672943000.0,652302000.0,718013000.0
32,27,Total current liabilities,3760596000.0,3517843000.0,3929634000.0,4402230000.0,4757656000.0
33,26,Non-current liabilities,2085322000.0,2453286000.0,2934517000.0,2790177000.0,3615553000.0
34,33,Long-term debt,774552000.0,1274216000.0,1623864000.0,1624054000.0,2227599000.0
35,33,Capital leases,0.0,0.0,60733000.0,85214000.0,176232000.0
36,33,Deferred taxes liabilities,349486000.0,446071000.0,422516000.0,285102000.0,314000000.0
37,33,Accrued liabilities,164593000.0,,203216000.0,216040000.0,231681000.0
38,33,Other long-term liabilities,796691000.0,732999000.0,624188000.0,579767000.0,666041000.0
39,33,Total non-current liabilities,2085322000.0,2453286000.0,2934517000.0,2790177000.0,3615553000.0
40,26,Total liabilities,5845918000.0,5971129000.0,6864151000.0,7192407000.0,8373209000.0
41,25,Stockholders' equity,3665937000.0,4229893000.0,4264230000.0,4307075000.0,4510599000.0
42,41,Common stock,723902000.0,705017000.0,684733000.0,663496000.0,646319000.0
43,41,Retained earnings,3155427000.0,3724408000.0,4133882000.0,4311051000.0,4558506000.0
44,41,Accumulated other comprehensive income,-213392000.0,-199532000.0,-554385000.0,-667472000.0,-694226000.0
45,41,Total stockholders' equity,3665937000.0,4229893000.0,4264230000.0,4307075000.0,4510599000.0
46,25,Total liabilities and stockholders' equity,9511855000.0,10201022000.0,11128381000.0,11499482000.0,12883808000.0
