,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,18776910000.0,18191744000.0,20214730000.0,19853213000.0,21436087000.0
1,0,Fixed maturity securities,13541193000.0,12879133000.0,14493060000.0,13758024000.0,15245861000.0
2,0,Equity securities,15567000.0,1884000.0,1477000.0,1635000.0,
3,0,"Loans, total",424050000.0,448887000.0,472109000.0,492462000.0,507975000.0
4,0,Short-term investments,94860000.0,76890000.0,15882000.0,54766000.0,72040000.0
5,0,Cash and cash equivalents,61710000.0,36943000.0,66019000.0,61383000.0,76163000.0
6,0,Accrued investment income,195497000.0,200038000.0,204879000.0,209915000.0,223148000.0
7,0,Premiums and other receivables,383709000.0,331103000.0,543988000.0,344552000.0,384454000.0
8,0,Deferred policy acquisition costs,3198431000.0,3337649000.0,3471781000.0,3617135000.0,3783158000.0
9,0,Goodwill,441591000.0,441591000.0,441591000.0,441591000.0,441591000.0
10,0,Other assets,420302000.0,437626000.0,503944000.0,871750000.0,701697000.0
11,0,Total assets,18776910000.0,18191744000.0,20214730000.0,19853213000.0,21436087000.0
12,12,Liabilities and stockholders' equity,18776910000.0,18191744000.0,20214730000.0,19853213000.0,21436087000.0
13,12,Liabilities,14415124000.0,14415402000.0,15517264000.0,15797661000.0,16869226000.0
14,13,Future policy benefits,10706219000.0,11256155000.0,11750495000.0,12245811000.0,12825837000.0
15,13,Policyholder funds,93288000.0,94286000.0,95446000.0,95988000.0,96993000.0
16,13,Unearned premiums,76088000.0,74174000.0,72275000.0,67021000.0,64017000.0
17,13,Short-term debt,319043000.0,229070000.0,238398000.0,490129000.0,264475000.0
18,13,Long-term debt,989686000.0,990865000.0,992130000.0,743733000.0,1133165000.0
19,13,Deferred income taxes,1609828000.0,1285574000.0,0.0,0.0,0.0
20,13,Taxes payable,,,1797265000.0,,
21,13,Other liabilities,620972000.0,485278000.0,571255000.0,2154979000.0,2484739000.0
22,13,Total liabilities,14415124000.0,14415402000.0,15517264000.0,15797661000.0,16869226000.0
23,12,Stockholders' equity,4361786000.0,3776342000.0,4697466000.0,4055552000.0,4566861000.0
24,23,Common stock,105812000.0,100812000.0,134218000.0,130218000.0,127218000.0
25,23,Additional paid-in capital,439782000.0,462058000.0,457613000.0,482284000.0,490421000.0
26,23,Retained earnings,3403338000.0,3545939000.0,3376846000.0,3614369000.0,3890798000.0
27,23,Treasury stock,-512421000.0,-543448000.0,-268663000.0,-403266000.0,-519150000.0
28,23,Accumulated other comprehensive income,925275000.0,210981000.0,997452000.0,231947000.0,577574000.0
29,23,Total stockholders' equity,4361786000.0,3776342000.0,4697466000.0,4055552000.0,4566861000.0
30,12,Total liabilities and stockholders' equity,18776910000.0,18191744000.0,20214730000.0,19853213000.0,21436087000.0
