,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,942839000.0,1119280000.0,864708000.0,1120050000.0,1398708000.0,1512624000.0
1,0,Net income,529324000.0,528472000.0,542939000.0,527100000.0,549779000.0,
2,0,Investments (gains) losses,,,,8791000.0,10683000.0,
3,0,(Gain) Loss from discontinued operations,,,,-10807000.0,-10189000.0,
4,0,Amortization of debt discount/premium and issuance costs,385167000.0,403389000.0,418772000.0,445625000.0,469063000.0,
5,0,Receivable,-89677000.0,50900000.0,-163522000.0,,,
6,0,Other assets and liabilities,611729000.0,648332000.0,672361000.0,749369000.0,822722000.0,0.0
7,0,Other operating activities,-493704000.0,-511813000.0,-605842000.0,-600028000.0,-443350000.0,1512624000.0
8,0,Net cash provided by operating activities,942839000.0,1119280000.0,864708000.0,1120050000.0,1398708000.0,1512624000.0
9,9,Cash Flows From Investing Activities,-698039000.0,-614378000.0,-350163000.0,-633350000.0,-1062436000.0,-1076362000.0
10,9,Sales/maturities of fixed maturity and equity securities,1091959000.0,642681000.0,383742000.0,606690000.0,578004000.0,685972000.0
11,9,Acquisitions and dispositions,-258812000.0,-51176000.0,0.0,,,
12,9,Purchases of investments,-1433476000.0,-1126461000.0,-700068000.0,-1143846000.0,-1582581000.0,-1709293000.0
13,9,Loans issued,-23130000.0,-24837000.0,-23222000.0,,,
14,9,"Property, and equipments, net",-4611000.0,-10598000.0,-10615000.0,-36957000.0,-25072000.0,-28385000.0
15,9,Other investing activities,-69969000.0,-43987000.0,0.0,-59237000.0,-32787000.0,-24656000.0
16,9,Net cash used for investing activities,-698039000.0,-614378000.0,-350163000.0,-633350000.0,-1062436000.0,-1076362000.0
17,17,Cash Flows From Financing Activities,-269112000.0,-535919000.0,-499960000.0,-525705000.0,-319791000.0,-450269000.0
18,17,Change in short-term borrowing,245000.0,3983000.0,9328000.0,1978000.0,22224000.0,39610000.0
19,17,Long-term debt issued,275000000.0,0.0,0.0,,400000000.0,0.0
20,17,Long-term debt repayment,-123711000.0,-94050000.0,0.0,,-250000000.0,-1250000.0
21,17,Common stock issued,181022000.0,97816000.0,56294000.0,35958000.0,61329000.0,55167000.0
22,17,Repurchases of treasury stock,-570165000.0,-482264000.0,-449308000.0,-418526000.0,-404784000.0,-394876000.0
23,17,Cash dividends paid,-55527000.0,-60911000.0,-65006000.0,-66899000.0,-66931000.0,-68205000.0
24,17,Other financing activities,24024000.0,-493000.0,-51268000.0,-78216000.0,-81629000.0,-80715000.0
25,17,Net cash provided by (used for) financing activities,-269112000.0,-535919000.0,-499960000.0,-525705000.0,-319791000.0,-450269000.0
26,26,Effect of exchange rate changes,1909000.0,6250000.0,14491000.0,34369000.0,-1701000.0,-2431000.0
27,27,Net change in cash,-22403000.0,-24767000.0,29076000.0,-4636000.0,14780000.0,-16438000.0
28,28,Cash at beginning of period,84113000.0,61710000.0,36943000.0,66019000.0,61383000.0,104900000.0
29,29,Cash at end of period,61710000.0,36943000.0,66019000.0,61383000.0,76163000.0,88462000.0
