,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,12509900000.0,13090300000.0,16889600000.0,16965400000.0,18274100000.0,19824400000.0
1,1,Cost of revenue,7214400000.0,7561200000.0,9397600000.0,9209500000.0,9905000000.0,10769800000.0
2,2,Gross profit,5295500000.0,5529100000.0,7492000000.0,7755900000.0,8369100000.0,9054600000.0
3,3,Operating expenses,3813400000.0,3919500000.0,4989000000.0,5419700000.0,5919900000.0,6291900000.0
4,3,Research and development,376400000.0,395500000.0,691100000.0,692300000.0,754800000.0,867700000.0
5,3,"Sales, General and administrative",3354900000.0,3446300000.0,4896100000.0,4612100000.0,4975900000.0,5280800000.0
6,3,"Restructuring, merger and acquisition",82100000.0,77700000.0,-598200000.0,,,
7,3,Other operating expenses,0.0,0.0,0.0,115300000.0,189200000.0,143400000.0
8,3,Total operating expenses,3813400000.0,3919500000.0,4989000000.0,5419700000.0,5919900000.0,6291900000.0
9,9,Operating income,1482100000.0,1609600000.0,2503000000.0,2336200000.0,2449200000.0,2762700000.0
10,10,Interest Expense,241600000.0,262100000.0,479900000.0,414900000.0,469600000.0,557000000.0
11,11,Other income (expense),28900000.0,-28000000.0,64100000.0,15100000.0,44300000.0,55300000.0
12,12,Income before taxes,1269400000.0,1319500000.0,2087200000.0,1936400000.0,2023900000.0,2261000000.0
13,13,Provision for income taxes,11000000.0,40400000.0,191700000.0,-43900000.0,-1400000.0,-69200000.0
14,14,Net income from continuing operations,1258400000.0,1279100000.0,1895500000.0,1980300000.0,2025300000.0,2330200000.0
15,15,Net income from discontinuing ops,-80500000.0,-5800000.0,-1100000.0,-4900000.0,-3500000.0,-3800000.0
16,16,Net income,1177900000.0,1273300000.0,1894400000.0,1975400000.0,2021800000.0,2326400000.0
17,17,Net income available to common shareholders,1177900000.0,1273300000.0,1894400000.0,1975400000.0,2021800000.0,2326400000.0
18,18,Earnings per share,,,,,,
19,19,Basic,3.24,3.53,4.76,4.96,5.12,5.91
20,20,Diluted,3.21,3.48,4.71,4.92,5.09,5.88
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,363800000.0,360300000.0,398200000.0,398700000.0,394800000.0,393000000.0
23,23,Diluted,366600000.0,365800000.0,402300000.0,401900000.0,397400000.0,395900000.0
24,24,EBITDA,2494700000.0,2581500000.0,4251900000.0,4039500000.0,4251500000.0,4751300000.0
