,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,1299194000.0,1473014000.0,1959000000.0,2128000000.0,2238000000.0
1,0,Current assets,632494000.0,630285000.0,747000000.0,865000000.0,950000000.0
2,1,Cash,486485000.0,482368000.0,563000000.0,661000000.0,730000000.0
3,2,Cash and cash equivalents,367515000.0,351148000.0,455000000.0,614000000.0,612000000.0
4,2,Short-term investments,118970000.0,131220000.0,108000000.0,47000000.0,118000000.0
5,2,Total cash,486485000.0,482368000.0,563000000.0,661000000.0,730000000.0
6,1,Receivables,81459000.0,97034000.0,151000000.0,180000000.0,189000000.0
7,1,Deferred income taxes,5971000.0,4550000.0,,,
8,1,Prepaid expenses,10365000.0,16214000.0,33000000.0,24000000.0,31000000.0
9,1,Other current assets,48214000.0,30119000.0,0.0,0.0,0.0
10,1,Total current assets,632494000.0,630285000.0,747000000.0,865000000.0,950000000.0
11,0,Non-current assets,666700000.0,842729000.0,1212000000.0,1263000000.0,1288000000.0
12,11,"Property, plant and equipment",43802000.0,81528000.0,195000000.0,247000000.0,260000000.0
13,12,"Gross property, plant and equipment",81428000.0,130153000.0,272000000.0,335000000.0,371000000.0
14,12,Accumulated Depreciation,-37626000.0,-48625000.0,-77000000.0,-88000000.0,-111000000.0
15,12,"Net property, plant and equipment",43802000.0,81528000.0,195000000.0,247000000.0,260000000.0
16,11,Equity and other investments,99248000.0,188338000.0,31000000.0,37000000.0,16000000.0
17,11,Goodwill,471684000.0,501984000.0,734000000.0,732000000.0,736000000.0
18,11,Intangible assets,38190000.0,51842000.0,214000000.0,176000000.0,167000000.0
19,11,Deferred income taxes,502000.0,893000.0,,,42000000.0
20,11,Other long-term assets,13274000.0,18144000.0,38000000.0,71000000.0,67000000.0
21,11,Total non-current assets,666700000.0,842729000.0,1212000000.0,1263000000.0,1288000000.0
22,0,Total assets,1299194000.0,1473014000.0,1959000000.0,2128000000.0,2238000000.0
23,23,Liabilities and stockholders' equity,1299194000.0,1473014000.0,1959000000.0,2128000000.0,2238000000.0
24,23,Liabilities,572226000.0,608534000.0,834000000.0,716000000.0,736000000.0
25,24,Current liabilities,195640000.0,242889000.0,381000000.0,312000000.0,423000000.0
26,25,Short-term debt,72145000.0,68461000.0,78000000.0,1000000.0,80000000.0
27,25,Accounts payable,14099000.0,9869000.0,19000000.0,10000000.0,14000000.0
28,25,Taxes payable,14597000.0,5443000.0,20000000.0,9000000.0,10000000.0
29,25,Accrued liabilities,63236000.0,85534000.0,114000000.0,123000000.0,90000000.0
30,25,Deferred revenues,31563000.0,43970000.0,57000000.0,64000000.0,64000000.0
31,25,Other current liabilities,0.0,29612000.0,93000000.0,105000000.0,165000000.0
32,25,Total current liabilities,195640000.0,242889000.0,381000000.0,312000000.0,423000000.0
33,24,Non-current liabilities,376586000.0,365645000.0,453000000.0,404000000.0,313000000.0
34,33,Long-term debt,340000000.0,300000000.0,260000000.0,200000000.0,91000000.0
35,33,Capital leases,,,,84000000.0,84000000.0
36,33,Deferred taxes liabilities,11023000.0,13114000.0,39000000.0,15000000.0,12000000.0
37,33,Other long-term liabilities,25563000.0,52531000.0,154000000.0,105000000.0,126000000.0
38,33,Total non-current liabilities,376586000.0,365645000.0,453000000.0,404000000.0,313000000.0
39,24,Total liabilities,572226000.0,608534000.0,834000000.0,716000000.0,736000000.0
40,23,Stockholders' equity,726968000.0,864480000.0,1125000000.0,1412000000.0,1502000000.0
41,40,Common stock,143000.0,144000.0,0.0,0.0,0.0
42,40,Additional paid-in capital,531256000.0,608001000.0,673000000.0,741000000.0,831000000.0
43,40,Retained earnings,196438000.0,401881000.0,628000000.0,826000000.0,945000000.0
44,40,Treasury stock,,-145221000.0,-145000000.0,-92000000.0,-197000000.0
45,40,Accumulated other comprehensive income,-869000.0,-325000.0,-31000000.0,-63000000.0,-77000000.0
46,40,Total stockholders' equity,726968000.0,864480000.0,1125000000.0,1412000000.0,1502000000.0
47,23,Total liabilities and stockholders' equity,1299194000.0,1473014000.0,1959000000.0,2128000000.0,2238000000.0
