,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,762966000.0,944661000.0,1246000000.0,1492000000.0,1480000000.0,1551000000.0
1,1,Cost of revenue,12074000.0,17714000.0,40000000.0,58000000.0,71000000.0,72000000.0
2,2,Gross profit,750892000.0,926947000.0,1206000000.0,1434000000.0,1409000000.0,1479000000.0
3,3,Operating expenses,454596000.0,632373000.0,866000000.0,1202000000.0,1243000000.0,1354000000.0
4,3,Research and development,86640000.0,130673000.0,171000000.0,207000000.0,243000000.0,242000000.0
5,3,"Sales, General and administrative",341880000.0,466474000.0,630000000.0,902000000.0,899000000.0,1003000000.0
6,3,Other operating expenses,26076000.0,35226000.0,65000000.0,93000000.0,101000000.0,109000000.0
7,3,Total operating expenses,454596000.0,632373000.0,866000000.0,1202000000.0,1243000000.0,1354000000.0
8,8,Operating income,296296000.0,294574000.0,340000000.0,232000000.0,166000000.0,125000000.0
9,9,Interest Expense,10871000.0,10074000.0,9000000.0,10000000.0,12000000.0,13000000.0
10,10,Other income (expense),-3450000.0,202000.0,-9000000.0,17000000.0,-3000000.0,0.0
11,11,Income before taxes,281975000.0,284702000.0,322000000.0,239000000.0,151000000.0,112000000.0
12,12,Provision for income taxes,87387000.0,79259000.0,96000000.0,41000000.0,31000000.0,46000000.0
13,13,Net income from continuing operations,194588000.0,205443000.0,226000000.0,198000000.0,120000000.0,66000000.0
14,14,Other,-519000.0,0.0,0.0,0.0,0.0,0.0
15,15,Net income,194069000.0,205443000.0,226000000.0,198000000.0,120000000.0,66000000.0
16,16,Net income available to common shareholders,194069000.0,205443000.0,226000000.0,198000000.0,120000000.0,66000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,1.39,1.44,1.58,1.38,0.83,0.47
19,19,Diluted,1.37,1.41,1.55,1.36,0.82,0.47
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,139462000.0,142854000.0,143000000.0,144000000.0,145000000.0,141250000.0
22,22,Diluted,141341000.0,145263000.0,146000000.0,146000000.0,147000000.0,143250000.0
23,23,EBITDA,318922000.0,330002000.0,396000000.0,342000000.0,264000000.0,234000000.0
