,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,3022500000.0,3484200000.0,3982100000.0,4200600000.0,4222900000.0,4598100000.0
1,1,Operating expenses,1437400000.0,1846800000.0,1803700000.0,1991000000.0,2175000000.0,2126000000.0
2,1,Compensation and benefits,1047600000.0,1156900000.0,1329600000.0,1443600000.0,1494000000.0,1600200000.0
3,1,Advertising and promotion,89800000.0,88700000.0,76000000.0,79700000.0,79900000.0,85400000.0
4,1,Depreciation and amortization,80900000.0,90600000.0,111700000.0,126300000.0,133400000.0,140300000.0
5,1,Other expenses,219100000.0,510600000.0,286400000.0,341400000.0,467700000.0,300100000.0
6,1,Total operating expenses,1437400000.0,1846800000.0,1803700000.0,1991000000.0,2175000000.0,2126000000.0
7,7,Operating income,1585100000.0,1637400000.0,2178400000.0,2209600000.0,2047900000.0,2472100000.0
8,8,Nonoperating income,70800000.0,63000000.0,112200000.0,103500000.0,227100000.0,306500000.0
9,8,Other income (expense),70800000.0,63000000.0,112200000.0,103500000.0,227100000.0,306500000.0
10,8,"Total nonoperating income, net",70800000.0,63000000.0,112200000.0,103500000.0,227100000.0,306500000.0
11,11,Income before taxes,1655900000.0,1700400000.0,2290600000.0,2313100000.0,2275000000.0,2778600000.0
12,12,Provision for income taxes,551500000.0,652700000.0,773500000.0,779400000.0,706500000.0,886200000.0
13,13,Other income (expense),-220800000.0,0.0,-287500000.0,-310700000.0,-353500000.0,-361900000.0
14,14,Net income,883600000.0,1047700000.0,1229600000.0,1223000000.0,1215000000.0,1530500000.0
15,15,Preferred dividend,0.0,9300000.0,14200000.0,16100000.0,25500000.0,34400000.0
16,16,Net income available to common shareholders,883600000.0,1038400000.0,1215400000.0,1206900000.0,1189500000.0,1496100000.0
17,17,Earnings per share,,,,,,
18,18,Basic,3.47,4.02,4.68,4.74,4.85,6.2
19,19,Diluted,3.36,3.9,4.55,4.63,4.75,6.1
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,253400000.0,258300000.0,259600000.0,254600000.0,245500000.0,241225000.0
22,22,Diluted,261000000.0,266300000.0,267400000.0,260900000.0,250300000.0,244900000.0
23,23,EBITDA,1445600000.0,1728400000.0,2002600000.0,2025200000.0,1866800000.0,2281400000.0
