,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,34374000000.0,37580000000.0,41373000000.0,36881000000.0,38260000000.0,38260000000.0
1,1,Cost of revenue,32016000000.0,34895000000.0,37456000000.0,32184000000.0,33177000000.0,33177000000.0
2,2,Gross profit,2358000000.0,2685000000.0,3917000000.0,4697000000.0,5083000000.0,5083000000.0
3,3,Operating expenses,983000000.0,1255000000.0,1748000000.0,1864000000.0,2152000000.0,2152000000.0
4,3,"Sales, General and administrative",983000000.0,1255000000.0,1748000000.0,1864000000.0,2152000000.0,2152000000.0
5,3,Total operating expenses,983000000.0,1255000000.0,1748000000.0,1864000000.0,2152000000.0,2152000000.0
6,6,Operating income,1375000000.0,1430000000.0,2169000000.0,2833000000.0,2931000000.0,2931000000.0
7,7,Interest Expense,145000000.0,132000000.0,293000000.0,249000000.0,279000000.0,279000000.0
8,8,Other income (expense),27000000.0,-46000000.0,45000000.0,14000000.0,-24000000.0,-24000000.0
9,9,Income before taxes,1257000000.0,1252000000.0,1921000000.0,2598000000.0,2628000000.0,2628000000.0
10,10,Provision for income taxes,409000000.0,396000000.0,697000000.0,826000000.0,850000000.0,850000000.0
11,11,Net income from continuing operations,848000000.0,856000000.0,1224000000.0,1772000000.0,1778000000.0,1778000000.0
12,12,Net income from discontinuing ops,-70000000.0,0.0,0.0,,,
13,13,Other,0.0,8000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0
14,14,Net income,778000000.0,864000000.0,1220000000.0,1768000000.0,1774000000.0,1774000000.0
15,15,Net income available to common shareholders,778000000.0,864000000.0,1220000000.0,1768000000.0,1774000000.0,1774000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,2.26,2.48,3.01,4.59,4.94,4.94
18,18,Diluted,2.12,2.37,2.95,4.53,4.79,4.79
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,282000000.0,284000000.0,405000000.0,385000000.0,296000000.0,296000000.0
21,21,Diluted,367000000.0,364000000.0,413000000.0,390000000.0,370000000.0,370000000.0
22,22,EBITDA,1921000000.0,1914000000.0,2925000000.0,3552000000.0,3668000000.0,3668000000.0
