,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,12825000000.0,12205000000.0,13045000000.0,13000000000.0,13370000000.0,14625000000.0
1,1,Cost of revenue,6457000000.0,5841000000.0,5618000000.0,5440000000.0,5130000000.0,5331000000.0
2,2,Gross profit,6368000000.0,6364000000.0,7427000000.0,7560000000.0,8240000000.0,9294000000.0
3,3,Operating expenses,4395000000.0,3532000000.0,3480000000.0,3286000000.0,3441000000.0,3498000000.0
4,3,Research and development,1877000000.0,1522000000.0,1358000000.0,1280000000.0,1370000000.0,1476000000.0
5,3,"Sales, General and administrative",1804000000.0,1858000000.0,1843000000.0,1748000000.0,1767000000.0,1715000000.0
6,3,"Restructuring, merger and acquisition",264000000.0,,,,-15000000.0,-12000000.0
7,3,Other operating expenses,450000000.0,152000000.0,279000000.0,258000000.0,319000000.0,319000000.0
8,3,Total operating expenses,4395000000.0,3532000000.0,3480000000.0,3286000000.0,3441000000.0,3498000000.0
9,9,Operating income,1973000000.0,2832000000.0,3947000000.0,4274000000.0,4799000000.0,5796000000.0
10,10,Interest Expense,85000000.0,95000000.0,94000000.0,90000000.0,83000000.0,79000000.0
11,11,Other income (expense),47000000.0,17000000.0,21000000.0,32000000.0,214000000.0,310000000.0
12,12,Income before taxes,1935000000.0,2754000000.0,3874000000.0,4216000000.0,4930000000.0,6027000000.0
13,13,Provision for income taxes,176000000.0,592000000.0,1053000000.0,1230000000.0,1335000000.0,1642000000.0
14,14,Net income from continuing operations,1759000000.0,2162000000.0,2821000000.0,2986000000.0,3595000000.0,4385000000.0
15,15,Net income,1759000000.0,2162000000.0,2821000000.0,2986000000.0,3595000000.0,4385000000.0
16,16,Preferred dividend,0.0,0.0,44000000.0,43000000.0,0.0,0.0
17,17,Net income available to common shareholders,1759000000.0,2162000000.0,2777000000.0,2943000000.0,3595000000.0,4385000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,1.53,1.94,2.61,2.86,3.54,4.36
20,20,Diluted,1.51,1.91,2.57,2.82,3.48,4.28
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,1132000000.0,1098000000.0,1065000000.0,1030000000.0,1003000000.0,994750000.0
23,23,Diluted,1146000000.0,1113000000.0,1080000000.0,1043000000.0,1021000000.0,1015000000.0
24,24,EBITDA,3319000000.0,4146000000.0,5198000000.0,5439000000.0,5968000000.0,7013000000.0
