Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,4683.0,5022.0,5202.0,4900.0,6760.0,6961.0,7368.0,8205.0,9043.0,9766.0,10243.0
Gross Margin %,85.8,43.7,44.2,85.4,88.1,88.5,88.9,89.1,89.2,89.4,89.4
Operating Income USD Mil,370.0,410.0,521.0,506.0,897.0,943.0,1015.0,1063.0,1259.0,1281.0,1256.0
Operating Margin %,7.9,8.2,10.0,10.3,13.3,13.5,13.8,13.0,13.9,13.1,12.3
Net Income USD Mil,170.0,199.0,260.0,230.0,398.0,443.0,511.0,545.0,681.0,702.0,707.0
Earnings Per Share USD,1.59,1.96,2.64,2.34,4.04,4.53,5.14,5.42,6.76,7.14,7.28
Dividends USD,,,,0.16,0.2,0.25,0.2,0.3,0.3,0.2,0.3
Payout Ratio % *,,,,4.4,5.8,6.0,3.8,5.0,5.9,1.4,4.1
Shares Mil,107.0,101.0,98.0,98.0,99.0,98.0,99.0,101.0,101.0,98.0,97.0
Book Value Per Share * USD,9.93,10.95,,15.08,17.75,20.18,23.01,30.03,38.49,43.02,43.66
Operating Cash Flow USD Mil,348.0,463.0,533.0,501.0,718.0,815.0,884.0,1036.0,1021.0,1288.0,1030.0
Cap Spending USD Mil,-340.0,-355.0,-380.0,-257.0,-324.0,-363.0,-358.0,-391.0,-379.0,-520.0,-542.0
Free Cash Flow USD Mil,9.0,109.0,154.0,244.0,394.0,452.0,526.0,645.0,642.0,769.0,488.0
Free Cash Flow Per Share * USD,-0.82,0.72,,1.31,2.94,2.06,3.76,5.0,7.18,7.83,
Working Capital USD Mil,287.0,228.0,213.0,505.0,528.0,513.0,372.0,432.0,618.0,364.0,
