,Date,Open,High,Low,Close,Adj Close,Volume
0,1999-11-10,65.0,70.3125,64.5,68.25,44.484013,80793700
1,1999-11-11,68.75,76.9375,68.75,75.0,48.883518,28309000
2,1999-11-12,76.0,76.625,69.25,70.5,45.950516,14768100
3,1999-11-15,70.5,70.875,67.3125,69.0,44.972843,8675100
4,1999-11-16,67.875,68.0,65.0,66.0,43.017497999999996,6978600
5,1999-11-17,65.5625,68.1875,65.125,67.6875,44.117385999999996,5806900
6,1999-11-18,67.9375,68.9375,66.125,66.3125,43.221199,4718700
7,1999-11-19,66.3125,66.3125,64.25,65.0,42.365722999999996,5091100
8,1999-11-22,64.0625,64.25,61.0,63.125,41.143623,4785400
9,1999-11-23,63.375,67.0,63.25,66.1875,43.139706,2832200
10,1999-11-24,66.0,68.1875,65.9375,67.6875,44.318233,2179400
11,1999-11-26,68.4375,69.4375,68.1875,69.125,45.259464,1322500
12,1999-11-29,70.0,70.25,67.0,68.125,44.604706,1987000
13,1999-11-30,67.375,67.625,66.0625,66.0625,43.254295,1686100
14,1999-12-01,66.25,67.375,65.625,65.875,43.131508000000004,1405700
15,1999-12-02,66.0,67.0625,65.875,67.0625,43.909042,1391000
16,1999-12-03,67.4375,67.6875,66.3125,66.4375,43.499809,1753500
17,1999-12-06,66.5,66.5,65.375,66.25,43.377041,1398900
18,1999-12-07,65.9375,68.0,65.875,68.0,44.522865,1793100
19,1999-12-08,68.0,68.375,66.75,68.375,44.768375,1774000
20,1999-12-09,68.375,68.75,66.625,67.5,44.195484,1713600
21,1999-12-10,66.375,67.0,65.375,66.125,43.295212,1248600
22,1999-12-13,66.375,66.9375,64.875,66.0,43.213378999999996,1417800
23,1999-12-14,66.0,66.0,64.75,65.0,42.558601,1886600
24,1999-12-15,65.0,65.0625,63.6875,63.75,41.740185,1602800
25,1999-12-16,63.75,64.0625,63.25,64.0,41.903862,1364600
26,1999-12-17,64.75,67.625,64.6875,66.625,43.62257,1980800
27,1999-12-20,67.6875,68.5,66.9375,68.5,44.850227000000004,1501300
28,1999-12-21,68.25,69.0,67.5,69.0,45.177611999999996,1265200
29,1999-12-22,68.9375,68.9375,66.0625,67.0,43.868099,1264700
30,1999-12-23,66.5,67.875,65.625,67.75,44.359177,1180600
31,1999-12-27,68.5,69.6875,67.5,69.6875,45.627747,1478800
32,1999-12-28,69.5,69.6875,68.0625,69.0,45.177611999999996,1051400
33,1999-12-29,69.0,69.375,67.5625,68.0,44.522865,904700
34,1999-12-30,69.25,69.5,68.0,68.0,44.522865,926700
35,1999-12-31,68.875,69.5,68.375,69.0,45.177611999999996,649300
36,2000-01-03,69.6875,69.75,67.0,67.0625,43.909042,1273200
37,2000-01-04,67.0,67.0,64.625,64.9375,42.517685,1385800
38,2000-01-05,64.875,68.0,64.75,68.0,44.522865,1401700
39,2000-01-06,65.875,68.125,65.0,68.0,44.522865,1959100
40,2000-01-07,67.625,67.625,65.75,66.375,43.458889,996000
41,2000-01-10,66.875,67.4375,66.4375,67.0625,43.909042,1191700
42,2000-01-11,67.125,67.4375,65.25,65.25,42.722301,1020000
43,2000-01-12,66.125,67.5,65.4375,67.375,44.113644,1097700
44,2000-01-13,67.625,68.5,67.375,68.3125,44.727474,1071200
45,2000-01-14,68.875,69.25,68.3125,69.0625,45.218552,1160000
46,2000-01-18,69.0,69.0,67.375,68.6875,44.973026000000004,980500
47,2000-01-19,68.5,68.5625,67.4375,68.25,44.686546,1087300
48,2000-01-20,68.125,69.125,68.125,68.875,45.095772,1972000
49,2000-01-21,68.875,68.875,66.6875,67.25,44.031803000000004,1270100
50,2000-01-24,67.875,68.25,66.0,66.0,43.213378999999996,831400
51,2000-01-25,65.625,66.625,64.75,65.875,43.131508000000004,1263000
52,2000-01-26,65.25,65.625,64.5,65.125,42.640469,933400
53,2000-01-27,65.3125,65.375,64.0,65.125,42.640469,1128400
54,2000-01-28,65.125,65.875,64.0,64.9375,42.517685,1324700
55,2000-01-31,63.0,64.0,59.0,60.0,39.284878000000006,5745800
56,2000-02-01,59.6875,61.5,58.3125,61.375,40.185143,4761000
57,2000-02-02,59.75,59.9375,57.1875,58.25,38.139069,4740600
58,2000-02-03,59.25,59.5,57.375,57.625,37.729851000000004,1951900
59,2000-02-04,58.1875,58.1875,56.0625,56.375,36.911415000000005,1745200
60,2000-02-07,56.625,56.8125,55.5,55.75,36.502182,1480200
61,2000-02-08,56.25,59.375,55.75,59.375,38.875683,2055100
62,2000-02-09,59.5,59.625,58.0,58.0,37.975388,1209400
63,2000-02-10,58.0625,58.5,56.5,57.0625,37.361549,995700
64,2000-02-11,56.8125,57.0,55.125,55.125,36.092964,1013900
65,2000-02-14,55.3125,55.5,54.125,54.375,35.601936,2052800
66,2000-02-15,54.4375,55.0,53.5625,54.9375,35.970207,1182900
67,2000-02-16,55.1875,56.4375,54.5,56.0,36.665894,1530000
68,2000-02-17,56.5,58.25,56.125,58.0,37.975388,1036000
69,2000-02-18,58.0,59.4375,55.25,56.9375,37.279713,1529200
70,2000-02-22,56.9375,56.9375,54.5625,55.0,36.011131,1226000
71,2000-02-23,55.0625,56.25,54.0625,54.9375,35.970207,855700
72,2000-02-24,55.0,55.0,53.8125,54.0625,35.507179,1049300
73,2000-02-25,54.9375,55.75,54.0625,55.5,36.451313,961700
74,2000-02-28,55.5625,55.625,54.5,55.0,36.122921000000005,565600
75,2000-02-29,55.0,55.3125,54.5,54.625,35.876621,750900
76,2000-03-01,54.625,54.6875,51.875,52.5,34.480968,1471000
77,2000-03-02,52.125,53.625,52.0625,53.3125,35.014595,1136600
78,2000-03-03,53.3125,53.5,52.5625,52.6875,34.604110999999996,1030700
