,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,35956000000.0,38569000000.0,40236000000.0,64035000000.0,67977000000.0
1,0,Cash and cash equivalents,2186000000.0,2932000000.0,3518000000.0,5619000000.0,9874000000.0
2,0,Restricted cash,49000000.0,1498000000.0,1072000000.0,1027000000.0,1031000000.0
3,0,Receivables,1702000000.0,1699000000.0,1332000000.0,2508000000.0,2554000000.0
4,0,Investments,2790000000.0,3050000000.0,3429000000.0,3931000000.0,1926000000.0
5,0,Property and equipment,1732000000.0,1892000000.0,1888000000.0,2150000000.0,2253000000.0
6,0,Deferred income taxes,481000000.0,1028000000.0,871000000.0,,
7,0,Goodwill,11681000000.0,11753000000.0,11825000000.0,15066000000.0,15110000000.0
8,0,Other intangible assets,11351000000.0,11411000000.0,11361000000.0,27234000000.0,27848000000.0
9,0,Other assets,3984000000.0,3306000000.0,4940000000.0,6500000000.0,7381000000.0
10,0,Total assets,35956000000.0,38569000000.0,40236000000.0,64035000000.0,67977000000.0
11,11,Liabilities and stockholders' equity,35956000000.0,38569000000.0,40236000000.0,64035000000.0,67977000000.0
12,11,Liabilities,9086000000.0,11156000000.0,10394000000.0,31123000000.0,35217000000.0
13,12,Short-term borrowing,,,,,1749000000.0
14,12,Payables and accrued expenses,2550000000.0,4668000000.0,3221000000.0,5069000000.0,5050000000.0
15,12,Taxes payable,,928000000.0,75000000.0,153000000.0,243000000.0
16,12,Long-term debt,,,,15882000000.0,16618000000.0
17,12,Deferred taxes,4149000000.0,4145000000.0,4123000000.0,4808000000.0,5980000000.0
18,12,Other liabilities,2387000000.0,1415000000.0,2975000000.0,5211000000.0,5577000000.0
19,12,Total liabilities,9086000000.0,11156000000.0,10394000000.0,31123000000.0,35217000000.0
20,11,Stockholders' equity,26870000000.0,27413000000.0,29842000000.0,32912000000.0,32760000000.0
21,20,Preferred stock,0.0,0.0,0.0,5717000000.0,5526000000.0
22,20,Additional paid-in capital,18875000000.0,18299000000.0,18073000000.0,17395000000.0,16900000000.0
23,20,Retained earnings,7974000000.0,9131000000.0,11843000000.0,10462000000.0,9508000000.0
24,20,Treasury stock,,,,-170000000.0,-0.0
25,20,Accumulated other comprehensive income,21000000.0,-17000000.0,-74000000.0,-492000000.0,826000000.0
26,20,Total stockholders' equity,26870000000.0,27413000000.0,29842000000.0,32912000000.0,32760000000.0
27,11,Total liabilities and stockholders' equity,35956000000.0,38569000000.0,40236000000.0,64035000000.0,67977000000.0
