,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Cash Flows From Operating Activities,3022000000.0,7205000000.0,6584000000.0,5574000000.0,9208000000.0,9208000000.0
1,0,Net income,4980000000.0,5438000000.0,6328000000.0,5991000000.0,6699000000.0,6699000000.0
2,0,Depreciation & amortization,397000000.0,435000000.0,494000000.0,502000000.0,556000000.0,556000000.0
3,0,Amortization of debt discount/premium and issuance costs,2321000000.0,2592000000.0,2861000000.0,0.0,0.0,0.0
4,0,Deferred tax (benefit) expense,1527000000.0,-580000000.0,195000000.0,-764000000.0,1700000000.0,1700000000.0
5,0,Stock based compensation,179000000.0,172000000.0,187000000.0,221000000.0,235000000.0,235000000.0
6,0,Receivable,-346000000.0,11000000.0,359000000.0,326000000.0,40000000.0,40000000.0
7,0,Accrued liabilities,-3682000000.0,1511000000.0,-328000000.0,230000000.0,466000000.0,466000000.0
8,0,Other operating activities,-2354000000.0,-2374000000.0,-3512000000.0,-932000000.0,-488000000.0,-488000000.0
9,0,Net cash provided by operating activities,3022000000.0,7205000000.0,6584000000.0,5574000000.0,9208000000.0,9208000000.0
10,10,Cash Flows From Investing Activities,-1164000000.0,-941000000.0,-1435000000.0,-10916000000.0,735000000.0,735000000.0
11,10,Sales/maturity of investments,2474000000.0,2342000000.0,1937000000.0,26703000000.0,5016000000.0,5016000000.0
12,10,Purchases of investments,-3167000000.0,-2581000000.0,-2875000000.0,-28014000000.0,-3284000000.0,-3284000000.0
13,10,"Property, and equipments, net",-471000000.0,-553000000.0,-404000000.0,-523000000.0,-695000000.0,-695000000.0
14,10,Acquisitions and dispositions,0.0,-149000000.0,-93000000.0,-9082000000.0,-302000000.0,-302000000.0
15,10,Net cash used for investing activities,-1164000000.0,-941000000.0,-1435000000.0,-10916000000.0,735000000.0,735000000.0
16,16,Cash Flows From Financing Activities,-1746000000.0,-6478000000.0,-3603000000.0,7477000000.0,-5924000000.0,-5924000000.0
17,16,Debt issued,,,,15971000000.0,2488000000.0,2488000000.0
18,16,Debt repayment,-6000000.0,0.0,0.0,,,
19,16,Excess tax benefit from stock based compensation,74000000.0,90000000.0,84000000.0,63000000.0,-0.0,-0.0
20,16,Common stock issued,,,,95000000.0,149000000.0,149000000.0
21,16,Repurchases of treasury stock,-5365000000.0,-4118000000.0,-2910000000.0,-7157000000.0,-6891000000.0,-6891000000.0
22,16,Dividend paid,-864000000.0,-1006000000.0,-1177000000.0,-1350000000.0,-1579000000.0,-1579000000.0
23,16,Other financing activities,4415000000.0,-1444000000.0,400000000.0,-145000000.0,-91000000.0,-91000000.0
24,16,Net cash provided by (used for) financing activities,-1746000000.0,-6478000000.0,-3603000000.0,7477000000.0,-5924000000.0,-5924000000.0
25,25,Effect of exchange rate changes,0.0,-1000000.0,1000000.0,-34000000.0,236000000.0,236000000.0
26,26,Net change in cash,112000000.0,-215000000.0,1547000000.0,2101000000.0,4255000000.0,4255000000.0
27,27,Cash at beginning of period,2074000000.0,2186000000.0,1971000000.0,3518000000.0,5619000000.0,5619000000.0
28,28,Cash at end of period,2186000000.0,1971000000.0,3518000000.0,5619000000.0,9874000000.0,9874000000.0
29,29,Free Cash Flow,,,,,,
30,30,Operating cash flow,3022000000.0,7205000000.0,6584000000.0,5574000000.0,9208000000.0,9208000000.0
31,31,Capital expenditure,-471000000.0,-553000000.0,-414000000.0,-523000000.0,-707000000.0,-707000000.0
32,32,Free cash flow,2551000000.0,6652000000.0,6170000000.0,5051000000.0,8501000000.0,8501000000.0
33,33,Supplemental schedule of cash flow data,,,,,,
34,34,Cash paid for income taxes,595000000.0,,2486000000.0,2842000000.0,3038000000.0,3038000000.0
35,35,Cash paid for interest,0.0,,,244000000.0,489000000.0,489000000.0
