,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,9633021000.0,10315443000.0,9980140000.0,9639542000.0,9739287000.0
1,0,Current assets,3449583000.0,3882982000.0,4185854000.0,4163136000.0,4293098000.0
2,1,Cash,597461000.0,776403000.0,971895000.0,945605000.0,1227862000.0
3,2,Cash and cash equivalents,597461000.0,776403000.0,971895000.0,945605000.0,1227862000.0
4,2,Total cash,597461000.0,776403000.0,971895000.0,945605000.0,1227862000.0
5,1,Receivables,1222345000.0,1360443000.0,1196933000.0,1241839000.0,1126811000.0
6,1,Inventories,1354158000.0,1399062000.0,1482804000.0,1611994000.0,1569325000.0
7,1,Deferred income taxes,140515000.0,169321000.0,154285000.0,,
8,1,Other current assets,135104000.0,177753000.0,379937000.0,363698000.0,369100000.0
9,1,Total current assets,3449583000.0,3882982000.0,4185854000.0,4163136000.0,4293098000.0
10,0,Non-current assets,6183438000.0,6432461000.0,5794286000.0,5476406000.0,5446189000.0
11,10,"Property, plant and equipment",828218000.0,932792000.0,942181000.0,988159000.0,939650000.0
12,11,"Gross property, plant and equipment",1983417000.0,2169980000.0,2269123000.0,2412102000.0,2375382000.0
13,11,Accumulated Depreciation,-1155199000.0,-1237188000.0,-1326942000.0,-1423943000.0,-1435732000.0
14,11,"Net property, plant and equipment",828218000.0,932792000.0,942181000.0,988159000.0,939650000.0
15,10,Equity and other investments,208768000.0,235191000.0,243176000.0,215989000.0,205579000.0
16,10,Goodwill,2009757000.0,2021750000.0,1824956000.0,1788407000.0,1736959000.0
17,10,Intangible assets,2917058000.0,3080838000.0,2603821000.0,2290261000.0,2034874000.0
18,10,Deferred income taxes,27170000.0,16537000.0,20252000.0,39246000.0,42231000.0
19,10,Prepaid pension benefit,,,,,41281000.0
20,10,Other long-term assets,192467000.0,145353000.0,159900000.0,154344000.0,445615000.0
21,10,Total non-current assets,6183438000.0,6432461000.0,5794286000.0,5476406000.0,5446189000.0
22,0,Total assets,9633021000.0,10315443000.0,9980140000.0,9639542000.0,9739287000.0
23,23,Liabilities and stockholders' equity,9633021000.0,10315443000.0,9980140000.0,9639542000.0,9739287000.0
24,23,Liabilities,4507396000.0,4238405000.0,4349258000.0,4254704000.0,4798366000.0
25,24,Current liabilities,1732212000.0,1568001000.0,1620241000.0,1941713000.0,1785400000.0
26,25,Short-term debt,415432000.0,23977000.0,25797000.0,462869000.0,279718000.0
27,25,Accounts payable,562638000.0,638732000.0,690842000.0,689594000.0,664644000.0
28,25,Deferred income taxes,6601000.0,9367000.0,6176000.0,,
29,25,Taxes payable,154873000.0,226111000.0,240473000.0,182940000.0,199494000.0
30,25,Accrued liabilities,564444000.0,633192000.0,598212000.0,551043000.0,588472000.0
31,25,Other current liabilities,28224000.0,36622000.0,58741000.0,55267000.0,53072000.0
32,25,Total current liabilities,1732212000.0,1568001000.0,1620241000.0,1941713000.0,1785400000.0
33,24,Non-current liabilities,2775184000.0,2670404000.0,2729017000.0,2312991000.0,3012966000.0
34,33,Long-term debt,1429166000.0,1426829000.0,1423581000.0,1401820000.0,2039180000.0
35,33,Deferred taxes liabilities,,452506000.0,348394000.0,,220618000.0
36,33,Deferred revenues,,,,241409000.0,
37,33,Pensions and other benefits,,214431000.0,364304000.0,,
38,33,Other long-term liabilities,1346018000.0,576638000.0,592738000.0,669762000.0,753168000.0
39,33,Total non-current liabilities,2775184000.0,2670404000.0,2729017000.0,2312991000.0,3012966000.0
40,24,Total liabilities,4507396000.0,4238405000.0,4349258000.0,4254704000.0,4798366000.0
41,23,Stockholders' equity,5125625000.0,6077038000.0,5630882000.0,5384838000.0,4940921000.0
42,41,Common stock,110205000.0,110078000.0,,,
43,41,Additional paid-in capital,2527868000.0,2746590000.0,3101401000.0,3299329000.0,3436926000.0
44,41,Retained earnings,2941447000.0,3432090000.0,3231753000.0,3128731000.0,2545458000.0
45,41,Accumulated other comprehensive income,-453895000.0,-211720000.0,-702272000.0,-1043222000.0,-1041463000.0
46,41,Total stockholders' equity,5125625000.0,6077038000.0,5630882000.0,5384838000.0,4940921000.0
47,23,Total liabilities and stockholders' equity,9633021000.0,10315443000.0,9980140000.0,9639542000.0,9739287000.0
