,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,13794000000.0,13783000000.0,13268000000.0,12488000000.0,13263000000.0,13263000000.0
1,1,Cost of revenue,6799000000.0,6542000000.0,6868000000.0,6684000000.0,7436000000.0,7436000000.0
2,2,Gross profit,6995000000.0,7241000000.0,6400000000.0,5804000000.0,5827000000.0,5827000000.0
3,3,Operating expenses,3159000000.0,3159000000.0,3288000000.0,3278000000.0,3338000000.0,3338000000.0
4,3,"Sales, General and administrative",2829000000.0,2899000000.0,2860000000.0,2851000000.0,3005000000.0,3005000000.0
5,3,"Restructuring, merger and acquisition",93000000.0,0.0,206000000.0,206000000.0,237000000.0,237000000.0
6,3,Other operating expenses,237000000.0,260000000.0,222000000.0,221000000.0,96000000.0,96000000.0
7,3,Total operating expenses,3159000000.0,3159000000.0,3288000000.0,3278000000.0,3338000000.0,3338000000.0
8,8,Operating income,3836000000.0,4082000000.0,3112000000.0,2526000000.0,2489000000.0,2489000000.0
9,9,Interest Expense,468000000.0,,,,,
10,10,Other income (expense),151000000.0,-568000000.0,-609000000.0,-536000000.0,-277000000.0,-277000000.0
11,11,Income before taxes,3519000000.0,3514000000.0,2503000000.0,1990000000.0,2212000000.0,2212000000.0
12,12,Provision for income taxes,1070000000.0,1050000000.0,501000000.0,519000000.0,293000000.0,293000000.0
13,13,Net income from continuing operations,2449000000.0,2464000000.0,2002000000.0,1471000000.0,1919000000.0,1919000000.0
14,14,Net income from discontinuing ops,-12000000.0,-1000000.0,,2000000.0,3000000.0,3000000.0
15,15,Other,-42000000.0,-72000000.0,-80000000.0,-35000000.0,-48000000.0,-48000000.0
16,16,Net income,2395000000.0,2391000000.0,1922000000.0,1438000000.0,1874000000.0,1874000000.0
17,17,Net income available to common shareholders,2395000000.0,2391000000.0,1922000000.0,1438000000.0,1874000000.0,1874000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,4.93,5.53,4.78,3.63,4.69,4.69
20,20,Diluted,4.84,5.43,4.73,3.61,4.68,4.68
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,486200000.0,432100000.0,402200000.0,396500000.0,399900000.0,399900000.0
23,23,Diluted,494800000.0,440200000.0,406000000.0,398000000.0,400600000.0,400600000.0
24,24,EBITDA,8595000000.0,8505000000.0,8259000000.0,7315000000.0,7451000000.0,7451000000.0
