Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,5.77,2.73,2.32,8.86,2.39,3.87,9.08,8.1,9.28,10.43,10.79
Accounts Receivable,18.0,8.99,13.08,13.09,20.84,18.74,18.67,13.12,10.56,12.91,12.42
Inventory,9.79,13.47,13.65,13.15,13.14,13.43,12.18,14.54,13.3,12.36,12.79
Other Current Assets,1.06,2.26,1.61,0.83,0.95,0.96,0.85,0.72,0.63,0.68,0.35
Total Current Assets,34.62,27.46,30.66,35.93,37.33,37.01,40.79,36.47,33.76,36.38,36.35
Net PP&E,50.81,67.45,64.59,60.26,58.85,59.13,54.39,58.69,60.22,57.33,56.84
Intangibles,10.18,0.65,0.64,0.6,0.53,0.48,0.33,,0.35,0.32,
Other Long-Term Assets,4.38,4.45,4.12,3.22,3.29,3.38,4.49,4.83,5.66,5.96,6.82
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,22.46,12.92,16.17,17.12,22.14,21.02,21.01,14.84,11.07,13.77,13.91
Short-Term Debt,0.92,0.91,,,,,,,,,
Taxes Payable,,,2.3,1.79,3.23,2.31,4.48,3.6,3.17,2.52,3.16
Accrued Liabilities,1.18,1.09,1.44,1.57,1.39,1.33,1.07,1.26,1.25,1.5,1.7
Other Short-Term Liabilities,3.33,3.13,1.98,2.87,2.94,2.17,1.21,2.2,1.11,0.25,0.25
Total Current Liabilities,27.89,18.04,21.89,23.35,29.7,26.82,27.77,21.91,16.6,18.04,19.03
Long-Term Debt,15.14,18.2,,,,,,,,,
Other Long-Term Liabilities,13.65,18.37,36.78,36.71,31.91,32.64,31.06,32.7,37.11,38.6,38.53
Total Liabilities,56.68,54.62,58.67,60.06,61.61,59.46,58.82,54.61,53.71,56.63,57.55
Total Stockholders' Equity,43.32,45.38,41.33,39.94,38.39,40.54,41.18,45.39,46.29,43.37,42.45
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
