,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,21965975000.0,20097224000.0,21248320000.0,21143293000.0,20814847000.0
1,0,Real estate properties,18495359000.0,18354626000.0,18845392000.0,18090137000.0,18339958000.0
2,0,Accumulated depreciation,-3097074000.0,-3410933000.0,-3629135000.0,-3418267000.0,-3513574000.0
3,0,"Real estate properties, net",15398285000.0,14943693000.0,15216257000.0,14671870000.0,14826384000.0
4,0,Cash and cash equivalents,960319000.0,583290000.0,1198477000.0,1835707000.0,1501027000.0
5,0,Receivables,961236000.0,938999000.0,1001630000.0,1029307000.0,1127203000.0
6,0,Intangible assets,370602000.0,323322000.0,276239000.0,227901000.0,192731000.0
7,0,Other assets,4275533000.0,3307920000.0,3555717000.0,3378508000.0,3167502000.0
8,0,Total assets,21965975000.0,20097224000.0,21248320000.0,21143293000.0,20814847000.0
9,9,Liabilities and stockholders' equity,21965975000.0,20097224000.0,21248320000.0,21143293000.0,20814847000.0
10,9,Liabilities,15115040000.0,13331992000.0,14502894000.0,14445698000.0,13916328000.0
11,10,Long-term debt,2528008000.0,9978718000.0,10898859000.0,11091010000.0,10611685000.0
12,10,Payables and accrued expenses,484746000.0,422276000.0,499702000.0,443955000.0,458694000.0
13,10,Other liabilities,12102286000.0,2930998000.0,3104333000.0,2910733000.0,2845949000.0
14,10,Total liabilities,15115040000.0,13331992000.0,14502894000.0,14445698000.0,13916328000.0
15,9,Stockholders' equity,6850935000.0,6765232000.0,6745426000.0,6697595000.0,6898519000.0
16,15,Preferred stock,1240278000.0,1277225000.0,1277026000.0,1276954000.0,1038055000.0
17,15,Common stock,7440000.0,7469000.0,7493000.0,7521000.0,7542000.0
18,15,Additional paid-in capital,7195438000.0,7143840000.0,6873025000.0,7132979000.0,7153332000.0
19,15,Retained earnings,-1573275000.0,-1734839000.0,-1505385000.0,-1766780000.0,-1419382000.0
20,15,Accumulated other comprehensive income,-18946000.0,71537000.0,93267000.0,46921000.0,118972000.0
21,15,Total stockholders' equity,6850935000.0,6765232000.0,6745426000.0,6697595000.0,6898519000.0
22,9,Total liabilities and stockholders' equity,21965975000.0,20097224000.0,21248320000.0,21143293000.0,20814847000.0
