Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,802.0,894.0,1027.0,1138.0,1191.0,1408.0,1596.0,1431.0,1761.0,1995.0,2081.0
Gross Margin %,55.5,56.7,52.2,59.3,63.0,63.3,61.0,63.9,65.2,64.2,63.1
Operating Income USD Mil,272.0,311.0,302.0,441.0,481.0,572.0,614.0,632.0,703.0,768.0,777.0
Operating Margin %,33.9,34.8,29.4,38.7,40.4,40.6,38.5,44.2,40.0,38.5,37.3
Net Income USD Mil,150.0,158.0,127.0,243.0,283.0,329.0,348.0,400.0,508.0,591.0,460.0
Earnings Per Share USD,,0.83,0.7,1.3,1.63,1.92,2.02,2.37,3.01,3.45,2.72
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,190.0,182.0,186.0,173.0,172.0,172.0,169.0,168.0,171.0,169.0
Book Value Per Share * USD,,,,,,,37.73,,134.8,183.26,194.9
Operating Cash Flow USD Mil,249.0,248.0,326.0,336.0,376.0,468.0,507.0,489.0,624.0,546.0,653.0
Cap Spending USD Mil,-33.0,-31.0,-39.0,-39.0,-60.0,-74.0,-146.0,-147.0,-166.0,-157.0,-171.0
Free Cash Flow USD Mil,216.0,217.0,288.0,297.0,316.0,394.0,361.0,343.0,458.0,390.0,482.0
Free Cash Flow Per Share * USD,,,,,,,30.91,,50.08,49.29,
Working Capital USD Mil,-173.0,-336.0,-75.0,-480.0,104.0,-195.0,44.0,-387.0,-875.0,-121.0,
