,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,3168150000.0,3582629000.0,3877934000.0,4268677000.0,4662059000.0
1,0,Current assets,2257726000.0,2556255000.0,2853736000.0,3213533000.0,3635445000.0
2,1,Cash,1539025000.0,1803670000.0,2055388000.0,2399263000.0,2813032000.0
3,2,Cash and cash equivalents,481035000.0,440796000.0,422177000.0,487665000.0,505631000.0
4,2,Short-term investments,1057990000.0,1362874000.0,1633211000.0,1911598000.0,2307401000.0
5,2,Total cash,1539025000.0,1803670000.0,2055388000.0,2399263000.0,2813032000.0
6,1,Receivables,404556000.0,430985000.0,433616000.0,468315000.0,489340000.0
7,1,Inventories,229565000.0,242800000.0,246430000.0,263415000.0,262682000.0
8,1,Other current assets,84580000.0,78800000.0,118302000.0,82540000.0,70391000.0
9,1,Total current assets,2257726000.0,2556255000.0,2853736000.0,3213533000.0,3635445000.0
10,0,Non-current assets,910424000.0,1026374000.0,1024198000.0,1055144000.0,1026614000.0
11,10,"Property, plant and equipment",273279000.0,324932000.0,321583000.0,333355000.0,337118000.0
12,11,"Gross property, plant and equipment",587323000.0,659349000.0,684613000.0,704528000.0,768549000.0
13,11,Accumulated Depreciation,-314044000.0,-334417000.0,-363030000.0,-371173000.0,-431431000.0
14,11,"Net property, plant and equipment",273279000.0,324932000.0,321583000.0,333355000.0,337118000.0
15,10,Goodwill,316834000.0,350350000.0,354838000.0,356864000.0,352080000.0
16,10,Intangible assets,220145000.0,239112000.0,232371000.0,218022000.0,207055000.0
17,10,Other long-term assets,100166000.0,111980000.0,115406000.0,146903000.0,130361000.0
18,10,Total non-current assets,910424000.0,1026374000.0,1024198000.0,1055144000.0,1026614000.0
19,0,Total assets,3168150000.0,3582629000.0,3877934000.0,4268677000.0,4662059000.0
20,20,Liabilities and stockholders' equity,3168150000.0,3582629000.0,3877934000.0,4268677000.0,4662059000.0
21,20,Liabilities,1700793000.0,1819456000.0,1983268000.0,2209826000.0,2360110000.0
22,21,Current liabilities,504242000.0,487532000.0,581595000.0,564076000.0,520321000.0
23,22,Short-term debt,132781000.0,133346000.0,225243000.0,175309000.0,125297000.0
24,22,Accounts payable,54724000.0,64961000.0,65704000.0,70573000.0,67740000.0
25,22,Taxes payable,60888000.0,19770000.0,15143000.0,14894000.0,15244000.0
26,22,Accrued liabilities,44263000.0,56267000.0,60464000.0,68002000.0,70856000.0
27,22,Deferred revenues,121470000.0,128056000.0,129706000.0,141505000.0,148837000.0
28,22,Other current liabilities,90116000.0,85132000.0,85335000.0,93793000.0,92347000.0
29,22,Total current liabilities,504242000.0,487532000.0,581595000.0,564076000.0,520321000.0
30,21,Non-current liabilities,1196551000.0,1331924000.0,1401673000.0,1645750000.0,1839789000.0
31,30,Long-term debt,1045000000.0,1190000000.0,1240000000.0,1493027000.0,1701966000.0
32,30,Deferred taxes liabilities,24772000.0,25436000.0,,,
33,30,Pensions and other benefits,101225000.0,74723000.0,85230000.0,77063000.0,72568000.0
34,30,Other long-term liabilities,25554000.0,41765000.0,76443000.0,75660000.0,65255000.0
35,30,Total non-current liabilities,1196551000.0,1331924000.0,1401673000.0,1645750000.0,1839789000.0
36,21,Total liabilities,1700793000.0,1819456000.0,1983268000.0,2209826000.0,2360110000.0
37,20,Stockholders' equity,1467357000.0,1763173000.0,1894666000.0,2058851000.0,2301949000.0
38,37,Common stock,1537000.0,1552000.0,1567000.0,1577000.0,1586000.0
39,37,Additional paid-in capital,1155504000.0,1270608000.0,1392494000.0,1490342000.0,1607241000.0
40,37,Retained earnings,3512890000.0,3962893000.0,4394513000.0,4863566000.0,5385069000.0
41,37,Treasury stock,-3176179000.0,-3477759000.0,-3815203000.0,-4149908000.0,-4475667000.0
42,37,Accumulated other comprehensive income,-26395000.0,5879000.0,-78705000.0,-146726000.0,-216280000.0
43,37,Total stockholders' equity,1467357000.0,1763173000.0,1894666000.0,2058851000.0,2301949000.0
44,20,Total liabilities and stockholders' equity,3168150000.0,3582629000.0,3877934000.0,4268677000.0,4662059000.0
