Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,,,,,,,0.0,0.0,0.0,0.0,0.0
Gross Margin %,,,,,,,92.4,92.3,,,
Operating Income GBP Mil,,,,,,,-0.0,-0.0,-0.0,-1.0,-1.0
Operating Margin %,,,,,,,,-210.4,-543.9,,
Net Income GBP Mil,,,,,,,-0.0,-0.0,-0.0,-1.0,-1.0
Earnings Per Share GBP,,,,,,,,,,-0.03,-0.03
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,54.0,54.0,54.0,45.0,45.0
Book Value Per Share * GBP,,,,,,,,,,-0.01,0.01
Operating Cash Flow GBP Mil,,,,,,,-0.0,-0.0,-0.0,-1.0,-1.0
Cap Spending GBP Mil,,,,,,,-0.0,-0.0,,-0.0,-0.0
Free Cash Flow GBP Mil,,,,,,,-0.0,-0.0,-0.0,-1.0,-1.0
Free Cash Flow Per Share * GBP,,,,,,,,,,,
Working Capital GBP Mil,,,,,,,-0.0,-0.0,-1.0,1.0,
