Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,1.0,,0.0,1.0,2.0,1.0,24.0,23.0,27.0,0.0,0.0
Gross Margin %,,,,-548.5,23.1,69.9,97.5,97.7,,,
Operating Income AUD Mil,-15.0,-26.0,-35.0,-62.0,-206.0,-128.0,-60.0,-47.0,-83.0,-37.0,-37.0
Operating Margin %,,,,,,,-245.8,-203.1,-303.3,,
Net Income AUD Mil,-15.0,-27.0,-31.0,3.0,-97.0,-114.0,-54.0,-28.0,-57.0,-35.0,-35.0
Earnings Per Share AUD,-0.12,-0.18,-0.14,0.01,-0.31,-0.35,-0.17,-0.08,-0.17,-0.1,-0.1
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,126.0,146.0,217.0,298.0,317.0,323.0,323.0,328.0,328.0,328.0,328.0
Book Value Per Share * AUD,0.51,0.49,0.75,1.25,1.04,0.74,0.54,0.38,0.27,0.13,0.05
Operating Cash Flow AUD Mil,-8.0,-18.0,-22.0,-38.0,-24.0,-21.0,-13.0,-30.0,-25.0,-12.0,-12.0
Cap Spending AUD Mil,-44.0,-79.0,-30.0,-7.0,-12.0,-4.0,-7.0,-21.0,-2.0,-0.0,-0.0
Free Cash Flow AUD Mil,-52.0,-97.0,-52.0,-45.0,-36.0,-25.0,-20.0,-52.0,-27.0,-13.0,-13.0
Free Cash Flow Per Share * AUD,-0.41,-0.67,-0.24,-0.15,-0.11,-0.07,-0.13,-0.06,-0.11,-0.06,
Working Capital AUD Mil,10.0,9.0,24.0,146.0,96.0,70.0,46.0,19.0,-20.0,-17.0,
