,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,5.75,5.8125,5.71875,5.8125,3.170454,1245200
1,1995-01-04,5.78125,5.84375,5.6875,5.71875,3.119318,1427200
2,1995-01-05,5.78125,5.84375,5.71875,5.78125,3.153408,3066800
3,1995-01-06,5.75,5.875,5.75,5.8125,3.170454,1538400
4,1995-01-09,5.78125,5.78125,5.71875,5.71875,3.119318,810000
5,1995-01-10,5.71875,5.78125,5.6875,5.71875,3.119318,1624000
6,1995-01-11,5.75,5.78125,5.65625,5.71875,3.119318,1147600
7,1995-01-12,5.71875,5.8125,5.6875,5.75,3.136362,792800
8,1995-01-13,5.8125,5.90625,5.71875,5.875,3.204545,2256800
9,1995-01-16,5.8125,6.0625,5.8125,6.03125,3.289771,3164400
10,1995-01-17,6.0,6.03125,5.9375,5.96875,3.255681,1868400
11,1995-01-18,5.96875,6.0,5.90625,5.9375,3.238636,1102400
12,1995-01-19,5.9375,5.96875,5.875,5.90625,3.221589,1175600
13,1995-01-20,5.90625,5.9375,5.875,5.875,3.204545,1613200
14,1995-01-23,5.8125,6.09375,5.8125,6.03125,3.289771,2058800
15,1995-01-24,6.0,6.09375,5.96875,6.0,3.272726,2172000
16,1995-01-25,6.03125,6.09375,6.0,6.0625,3.3068169999999997,3462400
17,1995-01-26,6.03125,6.0625,6.03125,6.0625,3.3068169999999997,1512400
18,1995-01-27,6.09375,6.125,6.0625,6.09375,3.323862,3312800
19,1995-01-30,6.03125,6.0625,5.96875,6.0625,3.335552,725200
20,1995-01-31,6.03125,6.0625,5.96875,6.0,3.301167,1300400
21,1995-02-01,6.0,6.03125,5.875,5.875,3.232392,2906400
22,1995-02-02,5.875,5.96875,5.84375,5.96875,3.2839720000000003,2109200
23,1995-02-03,6.03125,6.21875,6.03125,6.1875,3.404327,4176400
24,1995-02-06,6.15625,6.21875,6.125,6.21875,3.421522,2689600
25,1995-02-07,6.21875,6.21875,6.125,6.1875,3.404327,1348000
26,1995-02-08,6.15625,6.1875,6.09375,6.125,3.3699410000000003,905600
27,1995-02-09,6.125,6.15625,6.0,6.09375,3.352747,1358000
28,1995-02-10,6.125,6.125,5.96875,6.0625,3.335552,1068000
29,1995-02-13,6.0625,6.125,6.03125,6.09375,3.352747,1050400
30,1995-02-14,6.125,6.125,5.96875,6.03125,3.3183599999999998,1842800
31,1995-02-15,6.0625,6.15625,5.96875,6.09375,3.352747,1548400
32,1995-02-16,6.15625,6.25,6.125,6.21875,3.421522,2546400
33,1995-02-17,6.1875,6.25,6.15625,6.25,3.438715,1956400
34,1995-02-21,6.21875,6.28125,6.09375,6.125,3.3699410000000003,919600
35,1995-02-22,6.125,6.25,6.125,6.1875,3.404327,935200
36,1995-02-23,6.3125,6.34375,6.21875,6.25,3.438715,1400400
37,1995-02-24,6.28125,6.3125,6.21875,6.3125,3.4731019999999995,1067200
38,1995-02-27,6.28125,6.34375,6.25,6.25,3.438715,944400
39,1995-02-28,6.3125,6.4375,6.28125,6.4375,3.5418760000000002,2440800
40,1995-03-01,6.4375,6.53125,6.375,6.5,3.5762620000000003,3861200
41,1995-03-02,6.46875,6.5625,6.4375,6.5,3.5762620000000003,1419600
42,1995-03-03,6.46875,6.46875,6.34375,6.40625,3.524683,1475600
43,1995-03-06,6.40625,6.4375,6.28125,6.4375,3.5418760000000002,1619200
44,1995-03-07,6.4375,6.4375,6.28125,6.34375,3.490297,1780000
45,1995-03-08,6.34375,6.34375,6.25,6.28125,3.455907,1633600
46,1995-03-09,6.25,6.34375,6.25,6.3125,3.4731019999999995,1659200
47,1995-03-10,6.34375,6.5,6.3125,6.5,3.5762620000000003,1861600
48,1995-03-13,6.5,6.5,6.34375,6.40625,3.524683,851200
49,1995-03-14,6.40625,6.46875,6.3125,6.40625,3.524683,1409200
50,1995-03-15,6.40625,6.40625,6.21875,6.25,3.438715,3789200
51,1995-03-16,6.28125,6.375,6.21875,6.375,3.50749,3996800
52,1995-03-17,6.40625,6.40625,6.28125,6.28125,3.455907,2259200
53,1995-03-20,6.28125,6.3125,6.21875,6.25,3.438715,1912800
54,1995-03-21,6.25,6.3125,6.21875,6.25,3.438715,1077200
