Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2578.0,2827.0,3263.0,3332.0,3447.0,3480.0,3655.0,3802.0,3829.0,7887.0,8051.0
Gross Margin %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Operating Income USD Mil,620.0,503.0,694.0,753.0,566.0,-225.0,663.0,647.0,427.0,551.0,716.0
Operating Margin %,24.0,17.8,21.3,22.6,16.4,-6.5,18.1,17.0,11.2,7.0,8.9
Net Income USD Mil,409.0,303.0,438.0,455.0,204.0,-446.0,365.0,362.0,373.0,420.0,465.0
Earnings Per Share USD,7.36,5.43,6.86,7.05,3.07,-6.83,5.37,5.32,5.41,3.04,3.4
Dividends USD,2.65,2.75,2.75,2.75,2.75,2.86,2.97,3.18,3.28,1.92,2.07
Payout Ratio % *,35.9,50.7,40.3,39.1,65.4,,,60.8,47.1,136.2,60.9
Shares Mil,55.0,56.0,64.0,65.0,66.0,65.0,68.0,68.0,69.0,138.0,137.0
Book Value Per Share * USD,24.91,29.38,34.24,22.59,40.97,26.0,29.98,33.48,34.88,79.0,75.09
Operating Cash Flow USD Mil,268.0,211.0,418.0,489.0,439.0,525.0,561.0,477.0,243.0,920.0,814.0
Cap Spending USD Mil,-185.0,-94.0,-96.0,-83.0,-111.0,-137.0,-119.0,-117.0,-158.0,-303.0,-338.0
Free Cash Flow USD Mil,83.0,117.0,322.0,406.0,328.0,388.0,442.0,360.0,85.0,617.0,476.0
Free Cash Flow Per Share * USD,1.5,2.09,5.05,6.29,6.36,5.94,7.03,5.12,2.41,3.83,
Working Capital USD Mil,300.0,-2480.0,241.0,791.0,991.0,704.0,987.0,621.0,-298.0,422.0,
