Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,378476.0,404374.0,408085.0,421849.0,446509.0,468651.0,476294.0,485651.0,482130.0,485873.0,495012.0
Gross Margin %,24.3,24.8,25.4,25.3,25.0,24.8,24.8,24.8,25.1,25.6,25.6
Operating Income USD Mil,21952.0,22798.0,24002.0,25542.0,26491.0,27725.0,26872.0,27147.0,24105.0,22764.0,22175.0
Operating Margin %,5.8,5.6,5.9,6.1,5.9,5.9,5.6,5.6,5.0,4.7,4.5
Net Income USD Mil,12731.0,13400.0,14370.0,16389.0,15699.0,16999.0,16022.0,16363.0,14694.0,13643.0,11444.0
Earnings Per Share USD,3.13,3.39,3.71,4.47,4.52,5.02,4.88,5.05,4.57,4.38,3.76
Dividends USD,,,,1.21,1.46,1.59,1.88,1.92,1.96,,
Payout Ratio % *,,,,28.9,32.1,32.0,34.8,39.7,41.9,10.7,
Shares Mil,4072.0,3951.0,3877.0,3670.0,3474.0,3389.0,3283.0,3243.0,3217.0,3112.0,3035.0
Book Value Per Share * USD,10.95,13.06,12.88,14.36,15.88,16.43,16.75,21.62,23.02,23.8,21.89
Operating Cash Flow USD Mil,20354.0,23147.0,26249.0,23643.0,24255.0,25591.0,23257.0,28564.0,27389.0,31530.0,28809.0
Cap Spending USD Mil,-14937.0,-11499.0,-12184.0,-12699.0,-13510.0,-12898.0,-13115.0,-12174.0,-11477.0,-10619.0,-10068.0
Free Cash Flow USD Mil,5417.0,11648.0,14065.0,10944.0,10745.0,12693.0,10142.0,16390.0,15912.0,20911.0,18741.0
Free Cash Flow Per Share * USD,0.9,1.71,2.39,2.2,2.35,3.1,2.12,3.69,4.51,6.35,
Working Capital USD Mil,-10869.0,-6441.0,-7230.0,-6591.0,-7325.0,-11878.0,-8160.0,-1994.0,-4380.0,-9239.0,
