,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,9463000000.0,9741000000.0,9679000000.0,9716000000.0,9819000000.0
1,0,Current assets,1866000000.0,1940000000.0,1867000000.0,1869000000.0,1812000000.0
2,1,Cash,195000000.0,194000000.0,183000000.0,171000000.0,199000000.0
3,2,Cash and cash equivalents,195000000.0,194000000.0,183000000.0,171000000.0,185000000.0
4,2,Short-term investments,,,,,14000000.0
5,2,Total cash,195000000.0,194000000.0,183000000.0,171000000.0,199000000.0
6,1,Receivables,442000000.0,505000000.0,516000000.0,586000000.0,610000000.0
7,1,Inventories,379000000.0,346000000.0,302000000.0,295000000.0,315000000.0
8,1,Deferred income taxes,157000000.0,108000000.0,114000000.0,126000000.0,
9,1,Prepaid expenses,,153000000.0,147000000.0,153000000.0,144000000.0
10,1,Other current assets,693000000.0,634000000.0,605000000.0,538000000.0,544000000.0
11,1,Total current assets,1866000000.0,1940000000.0,1867000000.0,1869000000.0,1812000000.0
12,0,Non-current assets,7597000000.0,7801000000.0,7812000000.0,7847000000.0,8007000000.0
13,12,"Property, plant and equipment",1292000000.0,1555000000.0,1500000000.0,1399000000.0,1340000000.0
14,13,"Gross property, plant and equipment",2324000000.0,2691000000.0,2714000000.0,2695000000.0,2615000000.0
15,13,Accumulated Depreciation,-1032000000.0,-1136000000.0,-1214000000.0,-1296000000.0,-1275000000.0
16,13,"Net property, plant and equipment",1292000000.0,1555000000.0,1500000000.0,1399000000.0,1340000000.0
17,12,Goodwill,1566000000.0,1590000000.0,1551000000.0,1563000000.0,1603000000.0
18,12,Intangible assets,1189000000.0,1152000000.0,1114000000.0,1123000000.0,1127000000.0
19,12,Other long-term assets,3550000000.0,3504000000.0,3647000000.0,3762000000.0,3937000000.0
20,12,Total non-current assets,7597000000.0,7801000000.0,7812000000.0,7847000000.0,8007000000.0
21,0,Total assets,9463000000.0,9741000000.0,9679000000.0,9716000000.0,9819000000.0
22,22,Liabilities and stockholders' equity,9463000000.0,9741000000.0,9679000000.0,9716000000.0,9819000000.0
23,22,Liabilities,7533000000.0,8118000000.0,8424000000.0,8766000000.0,9105000000.0
24,23,Current liabilities,1931000000.0,1790000000.0,1859000000.0,1957000000.0,2032000000.0
25,24,Short-term debt,544000000.0,233000000.0,261000000.0,253000000.0,229000000.0
26,24,Accounts payable,307000000.0,360000000.0,385000000.0,394000000.0,468000000.0
27,24,Taxes payable,,120000000.0,129000000.0,102000000.0,137000000.0
28,24,Accrued liabilities,675000000.0,556000000.0,613000000.0,681000000.0,613000000.0
29,24,Deferred revenues,383000000.0,451000000.0,464000000.0,483000000.0,500000000.0
30,24,Other current liabilities,22000000.0,70000000.0,7000000.0,44000000.0,85000000.0
31,24,Total current liabilities,1931000000.0,1790000000.0,1859000000.0,1957000000.0,2032000000.0
32,23,Non-current liabilities,5602000000.0,6328000000.0,6565000000.0,6809000000.0,7073000000.0
33,32,Long-term debt,4018000000.0,4608000000.0,4792000000.0,4955000000.0,5283000000.0
34,32,Deferred taxes liabilities,1141000000.0,1173000000.0,1202000000.0,1252000000.0,1214000000.0
35,32,Deferred revenues,207000000.0,192000000.0,199000000.0,198000000.0,197000000.0
36,32,Minority interest,1000000.0,2000000.0,2000000.0,3000000.0,4000000.0
37,32,Other long-term liabilities,235000000.0,353000000.0,370000000.0,401000000.0,375000000.0
38,32,Total non-current liabilities,5602000000.0,6328000000.0,6565000000.0,6809000000.0,7073000000.0
39,23,Total liabilities,7533000000.0,8118000000.0,8424000000.0,8766000000.0,9105000000.0
40,22,Stockholders' equity,1930000000.0,1623000000.0,1255000000.0,950000000.0,714000000.0
41,40,Common stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
42,40,Additional paid-in capital,3820000000.0,3858000000.0,3889000000.0,3923000000.0,3966000000.0
43,40,Retained earnings,558000000.0,832000000.0,1183000000.0,1592000000.0,1977000000.0
44,40,Treasury stock,-2601000000.0,-3191000000.0,-3843000000.0,-4493000000.0,-5118000000.0
45,40,Accumulated other comprehensive income,151000000.0,122000000.0,24000000.0,-74000000.0,-113000000.0
46,40,Total stockholders' equity,1930000000.0,1623000000.0,1255000000.0,950000000.0,714000000.0
47,22,Total liabilities and stockholders' equity,9463000000.0,9741000000.0,9679000000.0,9716000000.0,9819000000.0
