,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,7276594000.0,8377030000.0,9062861000.0,10522259000.0,11953557000.0
1,0,Current assets,2202378000.0,2968814000.0,2782331000.0,2505778000.0,2990367000.0
2,1,Cash,1864106000.0,2609440000.0,2422304000.0,2195386000.0,2626559000.0
3,2,Cash and cash equivalents,1725219000.0,2435041000.0,2182164000.0,2080089000.0,2453122000.0
4,2,Short-term investments,138887000.0,174399000.0,240140000.0,115297000.0,173437000.0
5,2,Total cash,1864106000.0,2609440000.0,2422304000.0,2195386000.0,2626559000.0
6,1,Receivables,238573000.0,241932000.0,237957000.0,187887000.0,178712000.0
7,1,Inventories,63799000.0,74739000.0,72223000.0,74493000.0,91541000.0
8,1,Prepaid expenses,35900000.0,42703000.0,49847000.0,48012000.0,53299000.0
9,1,Other current assets,0.0,0.0,0.0,0.0,40256000.0
10,1,Total current assets,2202378000.0,2968814000.0,2782331000.0,2505778000.0,2990367000.0
11,0,Non-current assets,5074216000.0,5408216000.0,6280530000.0,8016481000.0,8963190000.0
12,11,"Property, plant and equipment",4727899000.0,4934449000.0,5855842000.0,7477478000.0,8259631000.0
13,12,"Gross property, plant and equipment",6778470000.0,7313411000.0,8476787000.0,10318079000.0,11434936000.0
14,12,Accumulated Depreciation,-2050571000.0,-2378962000.0,-2620945000.0,-2840601000.0,-3175305000.0
15,12,"Net property, plant and equipment",4727899000.0,4934449000.0,5855842000.0,7477478000.0,8259631000.0
16,11,Equity and other investments,4270000.0,4148000.0,14416000.0,136983000.0,128023000.0
17,11,Intangible assets,31297000.0,30767000.0,112367000.0,110972000.0,113588000.0
18,11,Other long-term assets,310750000.0,438852000.0,297905000.0,291048000.0,461948000.0
19,11,Total non-current assets,5074216000.0,5408216000.0,6280530000.0,8016481000.0,8963190000.0
20,0,Total assets,7276594000.0,8377030000.0,9062861000.0,10522259000.0,11953557000.0
21,21,Liabilities and stockholders' equity,7276594000.0,8377030000.0,9062861000.0,10522259000.0,11953557000.0
22,21,Liabilities,7535631000.0,8561537000.0,9091640000.0,10634238000.0,11795608000.0
23,22,Current liabilities,1131377000.0,1455534000.0,1313165000.0,1110171000.0,1416301000.0
24,23,Short-term debt,1050000.0,1050000.0,0.0,,
25,23,Accounts payable,164858000.0,272861000.0,303284000.0,210372000.0,298505000.0
26,23,Deferred income taxes,3178000.0,4035000.0,4847000.0,,
27,23,Taxes payable,165111000.0,207318000.0,137269000.0,98559000.0,162706000.0
28,23,Accrued liabilities,220768000.0,232950000.0,288133000.0,348831000.0,355524000.0
29,23,Deferred revenues,,,548818000.0,436409000.0,599566000.0
30,23,Other current liabilities,576412000.0,737320000.0,30814000.0,16000000.0,0.0
31,23,Total current liabilities,1131377000.0,1455534000.0,1313165000.0,1110171000.0,1416301000.0
32,22,Non-current liabilities,6404254000.0,7106003000.0,7778475000.0,9524067000.0,10379307000.0
33,32,Long-term debt,5781770000.0,6586518000.0,7345262000.0,9212765000.0,10125352000.0
34,32,Deferred taxes liabilities,45499000.0,14343000.0,25225000.0,36357000.0,66561000.0
35,32,Minority interest,362969000.0,316858000.0,239870000.0,133824000.0,99932000.0
36,32,Other long-term liabilities,214016000.0,188284000.0,168118000.0,141121000.0,87462000.0
37,32,Total non-current liabilities,6404254000.0,7106003000.0,7778475000.0,9524067000.0,10379307000.0
38,22,Total liabilities,7535631000.0,8561537000.0,9091640000.0,10634238000.0,11795608000.0
39,21,Stockholders' equity,-259037000.0,-184507000.0,-28779000.0,-111979000.0,157949000.0
40,39,Common stock,1137000.0,1142000.0,1144000.0,1146000.0,1150000.0
41,39,Additional paid-in capital,818821000.0,888727000.0,948566000.0,983131000.0,1226915000.0
42,39,Retained earnings,44775000.0,66130000.0,164487000.0,55332000.0,95097000.0
43,39,Treasury stock,-1127947000.0,-1143419000.0,-1145481000.0,-1152680000.0,-1166697000.0
44,39,Accumulated other comprehensive income,4177000.0,2913000.0,2505000.0,1092000.0,1484000.0
45,39,Total stockholders' equity,-259037000.0,-184507000.0,-28779000.0,-111979000.0,157949000.0
46,21,Total liabilities and stockholders' equity,7276594000.0,8377030000.0,9062861000.0,10522259000.0,11953557000.0
