,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,35.5,35.875,35.375,35.625,23.786362,132900
1,1995-01-04,35.625,35.75,35.25,35.375,23.619431,126300
2,1995-01-05,36.125,36.625,35.625,36.25,24.203659,454900
3,1995-01-06,36.25,37.25,36.125,37.125,24.787891000000002,362800
4,1995-01-09,37.0,37.25,36.625,37.125,24.787891000000002,489500
5,1995-01-10,37.25,37.75,37.125,37.125,24.787891000000002,367200
6,1995-01-11,37.625,37.625,37.125,37.125,24.787891000000002,244300
7,1995-01-12,37.25,37.875,37.0,37.625,25.121731,285300
8,1995-01-13,37.75,38.375,37.75,38.25,25.539036,413100
9,1995-01-16,38.625,38.75,38.0,38.125,25.455591000000002,241300
10,1995-01-17,38.25,39.125,38.0,38.75,25.872882999999998,394900
11,1995-01-18,38.625,39.0,38.375,38.375,25.622505,222700
12,1995-01-19,38.0,38.125,37.5,37.5,25.038275,186000
13,1995-01-20,37.25,37.375,35.625,35.75,23.869831,524300
14,1995-01-23,35.25,35.5,34.75,35.0,23.369062,656100
15,1995-01-24,34.75,35.75,34.75,35.25,23.535994,532300
16,1995-01-25,35.25,35.875,35.0,35.625,23.786362,222800
17,1995-01-26,35.5,35.625,34.125,34.25,22.868296,452400
18,1995-01-27,34.25,34.25,33.5,33.5,22.367531,232100
19,1995-01-30,33.625,34.125,31.75,32.0,21.365995,438800
20,1995-01-31,32.5,32.625,32.125,32.25,21.532919,549600
21,1995-02-01,32.25,32.875,31.625,32.875,21.950218,732100
22,1995-02-02,32.625,32.875,31.625,32.125,21.449455,561000
23,1995-02-03,32.5,33.25,32.5,33.0,22.03368,476200
24,1995-02-06,33.25,33.875,33.25,33.5,22.367531,296500
25,1995-02-07,33.625,33.875,33.5,33.625,22.450986999999998,139700
26,1995-02-08,33.75,34.125,33.5,34.0,22.701378,191000
27,1995-02-09,33.875,33.875,33.125,33.25,22.200605,147000
28,1995-02-10,33.375,33.375,32.75,33.125,22.284704,173400
29,1995-02-13,33.375,34.125,33.375,34.0,22.873344,216600
30,1995-02-14,34.125,34.25,33.375,33.875,22.789251,229600
31,1995-02-15,34.125,34.625,33.75,34.375,23.125618,309400
32,1995-02-16,34.5,35.25,34.5,35.0,23.546095,449800
33,1995-02-17,35.0,35.0,34.625,34.625,23.293817999999998,259800
34,1995-02-21,34.875,34.875,34.625,34.875,23.462002,162700
35,1995-02-22,34.875,34.875,34.25,34.375,23.125618,231400
36,1995-02-23,34.5,34.5,34.125,34.375,23.125618,595400
37,1995-02-24,34.375,34.5,34.125,34.375,23.125618,421000
38,1995-02-27,34.25,34.5,34.125,34.125,22.957449,306700
39,1995-02-28,33.75,33.75,33.0,33.25,22.368793,436800
40,1995-03-01,33.25,33.625,33.0,33.125,22.284704,234600
41,1995-03-02,33.125,33.125,31.75,31.875,21.443770999999998,379200
