,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,6305152000.0,7253135000.0,8725293000.0,5243286000.0,4681693000.0
1,0,Current assets,470137000.0,469139000.0,931804000.0,1077930000.0,969304000.0
2,1,Cash,69538000.0,4531000.0,405862000.0,779382000.0,652876000.0
3,2,Cash and cash equivalents,69538000.0,4531000.0,405862000.0,779382000.0,652876000.0
4,2,Total cash,69538000.0,4531000.0,405862000.0,779382000.0,652876000.0
5,1,Receivables,302974000.0,367754000.0,412108000.0,225398000.0,274597000.0
6,1,Inventories,81029000.0,66772000.0,89780000.0,54579000.0,33342000.0
7,1,Deferred income taxes,8477000.0,16854000.0,13475000.0,,
8,1,Prepaid expenses,7420000.0,7867000.0,9356000.0,7036000.0,7335000.0
9,1,Other current assets,699000.0,5361000.0,1223000.0,11535000.0,1154000.0
10,1,Total current assets,470137000.0,469139000.0,931804000.0,1077930000.0,969304000.0
11,0,Non-current assets,5835015000.0,6783996000.0,7793489000.0,4165356000.0,3712389000.0
12,11,"Property, plant and equipment",5157374000.0,6112555000.0,7114742000.0,3506155000.0,3059536000.0
13,12,"Gross property, plant and equipment",12201561000.0,13763915000.0,15547697000.0,16424296000.0,17156138000.0
14,12,Accumulated Depreciation,-7044187000.0,-7651360000.0,-8432955000.0,-12918141000.0,-14096602000.0
15,12,"Net property, plant and equipment",5157374000.0,6112555000.0,7114742000.0,3506155000.0,3059536000.0
16,11,Goodwill,620232000.0,620232000.0,620232000.0,620232000.0,620232000.0
17,11,Other long-term assets,57409000.0,51209000.0,58515000.0,38969000.0,32621000.0
18,11,Total non-current assets,5835015000.0,6783996000.0,7793489000.0,4165356000.0,3712389000.0
19,0,Total assets,6305152000.0,7253135000.0,8725293000.0,5243286000.0,4681693000.0
20,20,Liabilities and stockholders' equity,6305152000.0,7253135000.0,8725293000.0,5243286000.0,4681693000.0
21,20,Liabilities,2830416000.0,3230927000.0,4224661000.0,2445608000.0,2321629000.0
22,21,Current liabilities,645862000.0,683167000.0,776327000.0,410067000.0,522352000.0
23,22,Accounts payable,103653000.0,116110000.0,138051000.0,66815000.0,74486000.0
24,22,Accrued liabilities,392909000.0,412495000.0,447384000.0,229963000.0,260015000.0
25,22,Other current liabilities,149300000.0,154562000.0,190892000.0,113289000.0,187851000.0
26,22,Total current liabilities,645862000.0,683167000.0,776327000.0,410067000.0,522352000.0
27,21,Non-current liabilities,2184554000.0,2547760000.0,3448334000.0,2035541000.0,1799277000.0
28,27,Long-term debt,750000000.0,924000000.0,1500000000.0,1485620000.0,1487939000.0
29,27,Deferred taxes liabilities,1121353000.0,1459841000.0,1754706000.0,352705000.0,126894000.0
30,27,Other long-term liabilities,313201000.0,163919000.0,193628000.0,197216000.0,184444000.0
31,27,Total non-current liabilities,2184554000.0,2547760000.0,3448334000.0,2035541000.0,1799277000.0
32,21,Total liabilities,2830416000.0,3230927000.0,4224661000.0,2445608000.0,2321629000.0
33,20,Stockholders' equity,3474736000.0,4022208000.0,4500632000.0,2797678000.0,2360064000.0
34,33,Common stock,866000.0,872000.0,876000.0,948000.0,951000.0
35,33,Additional paid-in capital,1939628000.0,1970113000.0,1997080000.0,2762976000.0,2763452000.0
36,33,Retained earnings,1533768000.0,2050034000.0,2501574000.0,33313000.0,-405284000.0
37,33,Accumulated other comprehensive income,474000.0,1189000.0,1102000.0,441000.0,945000.0
38,33,Total Stockholders' equity,3474736000.0,4022208000.0,4500632000.0,2797678000.0,2360064000.0
39,20,Total liabilities and stockholders' equity,6305152000.0,7253135000.0,8725293000.0,5243286000.0,4681693000.0
