,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,31140686000.0,33907490000.0,36957884000.0,39053535000.0,41155277000.0
1,0,Current assets,2625139000.0,3218040000.0,3364380000.0,2910445000.0,2842081000.0
2,1,Cash,82323000.0,107144000.0,79608000.0,84940000.0,84476000.0
3,2,Cash and cash equivalents,82323000.0,107144000.0,79608000.0,84940000.0,84476000.0
4,2,Total cash,82323000.0,107144000.0,79608000.0,84940000.0,84476000.0
5,1,Receivables,1381409000.0,1431390000.0,1554998000.0,1379473000.0,1506121000.0
6,1,Inventories,535574000.0,576538000.0,597183000.0,608584000.0,604226000.0
7,1,Prepaid expenses,171315000.0,252258000.0,356600000.0,318757000.0,245379000.0
8,1,Other current assets,454518000.0,850710000.0,775991000.0,518691000.0,401879000.0
9,1,Total current assets,2625139000.0,3218040000.0,3364380000.0,2910445000.0,2842081000.0
10,0,Non-current assets,28515547000.0,30689450000.0,33593504000.0,36143090000.0,38313196000.0
11,10,"Property, plant and equipment",23809348000.0,26122159000.0,28756916000.0,31205851000.0,32841750000.0
12,11,"Gross property, plant and equipment",37602644000.0,40573152000.0,41925334000.0,46860764000.0,49403989000.0
13,11,Accumulated Depreciation,-13793296000.0,-14450993000.0,-13168418000.0,-15654913000.0,-16562239000.0
14,11,"Net property, plant and equipment",23809348000.0,26122159000.0,28756916000.0,31205851000.0,32841750000.0
15,10,Equity and other investments,1617865000.0,1755990000.0,1832640000.0,1902995000.0,2091858000.0
16,10,Regulatory assets,2762029000.0,2509218000.0,2774216000.0,2858741000.0,3080867000.0
17,10,Other long-term assets,326305000.0,302083000.0,229732000.0,175503000.0,298721000.0
18,10,Total non-current assets,28515547000.0,30689450000.0,33593504000.0,36143090000.0,38313196000.0
19,0,Total assets,31140686000.0,33907490000.0,36957884000.0,39053535000.0,41155277000.0
20,20,Liabilities and stockholders' equity,31140686000.0,33907490000.0,36957884000.0,39053535000.0,41155277000.0
21,20,Liabilities,22266609000.0,24341540000.0,26743402000.0,28452615000.0,30134428000.0
22,21,Current liabilities,2937073000.0,3654498000.0,4064583000.0,4058297000.0,3247043000.0
23,22,Short-term debt,860155000.0,1039763000.0,1277226000.0,1503021000.0,647529000.0
24,22,Accounts payable,959093000.0,1261238000.0,1173006000.0,960982000.0,1044959000.0
25,22,Taxes payable,334441000.0,378766000.0,396615000.0,438189000.0,457392000.0
26,22,Accrued liabilities,162494000.0,159372000.0,158536000.0,166829000.0,172901000.0
27,22,Other current liabilities,620890000.0,815359000.0,1059200000.0,989276000.0,924262000.0
28,22,Total current liabilities,2937073000.0,3654498000.0,4064583000.0,4058297000.0,3247043000.0
29,21,Non-current liabilities,19329536000.0,20687042000.0,22678819000.0,24394318000.0,26887385000.0
30,29,Long-term debt,10143905000.0,10910754000.0,11499634000.0,12490719000.0,14194718000.0
31,29,Deferred taxes liabilities,4434909000.0,5331046000.0,5852988000.0,6293661000.0,6784319000.0
32,29,Deferred revenues,252888000.0,275555000.0,256945000.0,228999000.0,195214000.0
33,29,Pensions and other benefits,1163265000.0,769222000.0,936907000.0,941002000.0,1112366000.0
34,29,Regulatory liabilities,1059939000.0,1059395000.0,1163429000.0,1332889000.0,1383212000.0
35,29,Other long-term liabilities,2274630000.0,2341070000.0,2968916000.0,3107048000.0,3217556000.0
36,29,Total non-current liabilities,19329536000.0,20687042000.0,22678819000.0,24394318000.0,26887385000.0
37,21,Total liabilities,22266609000.0,24341540000.0,26743402000.0,28452615000.0,30134428000.0
38,20,stockholders' equity,8874077000.0,9565950000.0,10214482000.0,10600920000.0,11020849000.0
39,38,Common stock,1219899000.0,1244929000.0,1264333000.0,1268839000.0,1268057000.0
40,38,Additional paid-in capital,5353015000.0,5619313000.0,5837330000.0,5889106000.0,5881494000.0
41,38,Retained earnings,2413816000.0,2807983000.0,3220958000.0,3552728000.0,3981652000.0
42,38,Accumulated other comprehensive income,-112653000.0,-106275000.0,-108139000.0,-109753000.0,-110354000.0
43,38,Total stockholders' equity,8874077000.0,9565950000.0,10214482000.0,10600920000.0,11020849000.0
44,20,Total liabilities and stockholders' equity,31140686000.0,33907490000.0,36957884000.0,39053535000.0,41155277000.0
