,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,30015000000.0,29036000000.0,27658000000.0,24817000000.0,18145000000.0
1,0,Current assets,8273000000.0,8511000000.0,8874000000.0,6685000000.0,6992000000.0
2,1,Cash,1246000000.0,1764000000.0,1411000000.0,1368000000.0,2223000000.0
3,2,Cash and cash equivalents,1246000000.0,1764000000.0,1411000000.0,1368000000.0,2223000000.0
4,2,Total cash,1246000000.0,1764000000.0,1411000000.0,1368000000.0,2223000000.0
5,1,Receivables,2866000000.0,2539000000.0,2546000000.0,2319000000.0,651000000.0
6,1,Inventories,1011000000.0,998000000.0,934000000.0,942000000.0,841000000.0
7,1,Deferred income taxes,296000000.0,253000000.0,426000000.0,,
8,1,Prepaid expenses,143000000.0,143000000.0,134000000.0,135000000.0,
9,1,Other current assets,2711000000.0,2814000000.0,3423000000.0,1921000000.0,3277000000.0
10,1,Total current assets,8273000000.0,8511000000.0,8874000000.0,6685000000.0,6992000000.0
11,0,Non-current assets,21742000000.0,20525000000.0,18784000000.0,18132000000.0,11153000000.0
12,11,"Property, plant and equipment",2091000000.0,2025000000.0,1648000000.0,1491000000.0,1135000000.0
13,12,"Gross property, plant and equipment",5646000000.0,6662000000.0,5566000000.0,5690000000.0,4603000000.0
14,12,Accumulated Depreciation,-3555000000.0,-4637000000.0,-3918000000.0,-4199000000.0,-3468000000.0
15,12,"Net property, plant and equipment",2091000000.0,2025000000.0,1648000000.0,1491000000.0,1135000000.0
16,11,Equity and other investments,1381000000.0,1458000000.0,1496000000.0,1531000000.0,1388000000.0
17,11,Goodwill,9062000000.0,9205000000.0,8805000000.0,8823000000.0,3787000000.0
18,11,Intangible assets,3127000000.0,2503000000.0,2031000000.0,2263000000.0,290000000.0
19,11,Deferred income taxes,763000000.0,368000000.0,367000000.0,714000000.0,
20,11,Other long-term assets,5318000000.0,4966000000.0,4437000000.0,3310000000.0,4553000000.0
21,11,Total non-current assets,21742000000.0,20525000000.0,18784000000.0,18132000000.0,11153000000.0
22,0,Total assets,30015000000.0,29036000000.0,27658000000.0,24817000000.0,18145000000.0
23,23,Liabilities and stockholders' equity,30015000000.0,29036000000.0,27658000000.0,24817000000.0,18145000000.0
24,23,Liabilities,18494000000.0,16736000000.0,16675000000.0,15743000000.0,13342000000.0
25,24,Current liabilities,5910000000.0,5686000000.0,6076000000.0,5254000000.0,4654000000.0
26,25,Short-term debt,1042000000.0,1117000000.0,1458000000.0,985000000.0,1011000000.0
27,25,Accounts payable,1913000000.0,1626000000.0,1584000000.0,1614000000.0,1126000000.0
28,25,Deferred income taxes,105000000.0,87000000.0,262000000.0,,
29,25,Taxes payable,170000000.0,180000000.0,134000000.0,133000000.0,
30,25,Accrued liabilities,824000000.0,814000000.0,832000000.0,724000000.0,420000000.0
31,25,Deferred revenues,,496000000.0,431000000.0,428000000.0,187000000.0
32,25,Other current liabilities,1856000000.0,1366000000.0,1375000000.0,1370000000.0,1910000000.0
33,25,Total current liabilities,5910000000.0,5686000000.0,6076000000.0,5254000000.0,4654000000.0
34,24,Non-current liabilities,12584000000.0,11050000000.0,10599000000.0,10489000000.0,8688000000.0
35,34,Long-term debt,7447000000.0,6904000000.0,6314000000.0,6382000000.0,5305000000.0
36,34,Deferred taxes liabilities,262000000.0,286000000.0,,60000000.0,
37,34,Deferred revenues,,168000000.0,166000000.0,100000000.0,
38,34,Pensions and other benefits,3867000000.0,2921000000.0,3712000000.0,3298000000.0,2938000000.0
39,34,Minority interest,143000000.0,119000000.0,75000000.0,43000000.0,38000000.0
40,34,Other long-term liabilities,865000000.0,652000000.0,332000000.0,606000000.0,407000000.0
41,34,Total non-current liabilities,12584000000.0,11050000000.0,10599000000.0,10489000000.0,8688000000.0
42,24,Total liabilities,18494000000.0,16736000000.0,16675000000.0,15743000000.0,13342000000.0
43,23,Stockholders' equity,11521000000.0,12300000000.0,10983000000.0,9074000000.0,4803000000.0
44,43,Preferred stock,349000000.0,349000000.0,349000000.0,349000000.0,
45,43,Common stock,1239000000.0,1210000000.0,1124000000.0,1013000000.0,1014000000.0
46,43,Additional paid-in capital,5622000000.0,5282000000.0,4283000000.0,3017000000.0,3098000000.0
47,43,Retained earnings,7991000000.0,8839000000.0,9491000000.0,9686000000.0,5039000000.0
48,43,Treasury stock,-104000000.0,-252000000.0,-105000000.0,-0.0,
49,43,Accumulated other comprehensive income,-3576000000.0,-3128000000.0,-4159000000.0,-4991000000.0,-4348000000.0
50,43,Total stockholders' equity,11521000000.0,12300000000.0,10983000000.0,9074000000.0,4803000000.0
51,23,Total liabilities and stockholders' equity,30015000000.0,29036000000.0,27658000000.0,24817000000.0,18145000000.0
