,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,22390000000.0,21435000000.0,19540000000.0,18045000000.0,10771000000.0,10252000000.0
1,1,Cost of revenue,15164000000.0,14787000000.0,13294000000.0,12782000000.0,6510000000.0,6185000000.0
2,2,Gross profit,7226000000.0,6648000000.0,6246000000.0,5263000000.0,4261000000.0,4067000000.0
3,3,Operating expenses,5424000000.0,5186000000.0,4680000000.0,4432000000.0,3229000000.0,3094000000.0
4,3,Research and development,655000000.0,601000000.0,577000000.0,563000000.0,476000000.0,445000000.0
5,3,"Sales, General and administrative",4288000000.0,4137000000.0,3788000000.0,3559000000.0,2695000000.0,2594000000.0
6,3,"Restructuring, merger and acquisition",153000000.0,116000000.0,,,,
7,3,Other operating expenses,328000000.0,332000000.0,315000000.0,310000000.0,58000000.0,55000000.0
8,3,Total operating expenses,5424000000.0,5186000000.0,4680000000.0,4432000000.0,3229000000.0,3094000000.0
9,9,Operating income,1802000000.0,1462000000.0,1566000000.0,831000000.0,1032000000.0,973000000.0
10,10,Interest Expense,198000000.0,243000000.0,237000000.0,223000000.0,181000000.0,132000000.0
11,11,Other income (expense),-256000000.0,93000000.0,-123000000.0,-196000000.0,-283000000.0,-318000000.0
12,12,Income before taxes,1348000000.0,1312000000.0,1206000000.0,412000000.0,568000000.0,523000000.0
13,13,Provision for income taxes,277000000.0,276000000.0,259000000.0,-23000000.0,62000000.0,55000000.0
14,14,Other income,152000000.0,169000000.0,160000000.0,135000000.0,121000000.0,111000000.0
15,15,Net income from continuing operations,1223000000.0,1205000000.0,1107000000.0,570000000.0,627000000.0,579000000.0
16,16,Net income from discontinuing ops,,-26000000.0,-115000000.0,-78000000.0,-1093000000.0,-1031000000.0
17,17,Other,-28000000.0,-20000000.0,-23000000.0,-18000000.0,-11000000.0,-12000000.0
18,18,Net income,1195000000.0,1159000000.0,969000000.0,474000000.0,-477000000.0,-464000000.0
19,19,Preferred dividend,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0,17000000.0
20,20,Net income available to common shareholders,1171000000.0,1135000000.0,945000000.0,450000000.0,-501000000.0,-481000000.0
21,21,Earnings per share,,,,,,
22,22,Basic,3.6,3.72,3.28,1.68,-1.96,-1.88
23,23,Diluted,3.52,3.64,3.24,1.68,-1.96,-1.88
24,24,Weighted average shares outstanding,,,,,,
25,25,Basic,325513250.0,306371500.0,288591250.0,266131500.0,253390750.0,254080000.0
26,26,Diluted,332296000.0,318381750.0,299640750.0,269056000.0,255994750.0,256621000.0
27,27,EBITDA,2847000000.0,2913000000.0,2869000000.0,1825000000.0,1312000000.0,1191000000.0
