Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.99,2.94,9.74,11.68,14.37,17.26,18.87,17.6,5.97,2.38,1.82
Accounts Receivable,10.16,10.12,9.65,9.7,9.85,9.82,9.78,9.47,5.31,6.01,5.86
Inventory,10.97,12.82,11.73,11.71,10.92,11.04,11.22,12.13,8.28,7.34,7.89
Other Current Assets,3.27,4.21,4.05,4.54,3.34,3.03,3.96,5.32,1.98,1.75,1.21
Total Current Assets,31.4,30.1,35.17,37.62,38.48,41.15,43.81,44.52,21.54,17.48,16.78
Net PP&E,14.65,17.46,15.69,15.17,14.18,13.43,12.78,13.38,7.58,7.64,7.75
Intangibles,50.73,50.38,46.77,42.6,40.22,36.75,34.64,32.36,68.63,72.81,73.32
Other Long-Term Assets,3.22,2.06,2.37,4.61,7.13,8.66,8.76,9.75,2.25,2.07,2.14
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.62,2.57,1.73,1.62,1.68,2.04,1.53,1.73,1.05,1.37,1.24
Short-Term Debt,,,,,1.68,1.11,0.01,,,2.16,4.64
Taxes Payable,,0.09,0.74,0.61,0.1,0.25,2.31,0.75,0.54,0.69,1.1
Accrued Liabilities,3.47,,,6.55,6.72,6.2,6.93,7.67,4.36,4.71,
Other Short-Term Liabilities,5.19,7.99,6.4,,,,,0.62,,,4.42
Total Current Liabilities,11.28,10.65,8.87,8.78,10.18,9.61,10.77,10.77,5.94,8.92,11.39
Long-Term Debt,1.57,6.36,14.48,14.28,18.51,19.09,17.46,14.8,42.46,39.97,34.82
Other Long-Term Liabilities,4.99,4.94,4.22,4.8,6.64,6.27,6.05,6.75,15.27,14.87,14.22
Total Liabilities,17.85,21.95,27.57,27.86,35.33,34.97,34.27,32.32,63.67,63.77,60.44
Total Stockholders' Equity,82.15,78.05,72.43,72.14,64.67,65.03,65.73,67.68,36.33,36.23,39.56
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
