,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,9012400000.0,9580600000.0,9634700000.0,27219500000.0,26684400000.0
1,0,Current assets,3708700000.0,4197700000.0,4289000000.0,5862900000.0,4663600000.0
2,1,Cash,1555900000.0,1807600000.0,1695800000.0,1623900000.0,634100000.0
3,2,Cash and cash equivalents,884300000.0,1080600000.0,1083300000.0,1459300000.0,634100000.0
4,2,Short-term investments,671600000.0,727000000.0,612500000.0,164600000.0,0.0
5,2,Total cash,1555900000.0,1807600000.0,1695800000.0,1623900000.0,634100000.0
6,1,Receivables,884600000.0,936600000.0,912100000.0,1446500000.0,1604400000.0
7,1,Inventories,995300000.0,1074500000.0,1169000000.0,2254100000.0,1959400000.0
8,1,Deferred income taxes,196600000.0,271900000.0,318400000.0,,
9,1,Prepaid expenses,76300000.0,107100000.0,193700000.0,538400000.0,465700000.0
10,1,Total current assets,3708700000.0,4197700000.0,4289000000.0,5862900000.0,4663600000.0
11,0,Non-current assets,5303700000.0,5382900000.0,5345700000.0,21356600000.0,22020800000.0
12,11,"Property, plant and equipment",1210700000.0,1224700000.0,1288800000.0,2062600000.0,2037900000.0
13,12,"Gross property, plant and equipment",3194300000.0,3316200000.0,3410600000.0,4427900000.0,4671500000.0
14,12,Accumulated Depreciation,-1983600000.0,-2091500000.0,-2121800000.0,-2365300000.0,-2633600000.0
15,12,"Net property, plant and equipment",1210700000.0,1224700000.0,1288800000.0,2062600000.0,2037900000.0
16,11,Goodwill,2571800000.0,2611200000.0,2514200000.0,9934200000.0,10643900000.0
17,11,Intangible assets,740700000.0,707700000.0,603500000.0,8746300000.0,8785400000.0
18,11,Other long-term assets,780500000.0,839300000.0,939200000.0,613500000.0,553600000.0
19,11,Total non-current assets,5303700000.0,5382900000.0,5345700000.0,21356600000.0,22020800000.0
20,0,Total assets,9012400000.0,9580600000.0,9634700000.0,27219500000.0,26684400000.0
21,21,Liabilities and stockholders' equity,9012400000.0,9580600000.0,9634700000.0,27219500000.0,26684400000.0
22,21,Liabilities,3151500000.0,3283300000.0,3113900000.0,17331600000.0,17015500000.0
23,22,Current liabilities,866000000.0,1031600000.0,1038000000.0,1617900000.0,2381500000.0
24,23,Short-term debt,100100000.0,500000.0,,,575600000.0
25,23,Accounts payable,184100000.0,146300000.0,167100000.0,284800000.0,364500000.0
26,23,Taxes payable,22800000.0,221200000.0,72400000.0,147200000.0,183500000.0
27,23,Accrued liabilities,559000000.0,663600000.0,739200000.0,1185900000.0,1257900000.0
28,23,Other current liabilities,0.0,0.0,59300000.0,0.0,0.0
29,23,Total current liabilities,866000000.0,1031600000.0,1038000000.0,1617900000.0,2381500000.0
30,22,Non-current liabilities,2285500000.0,2251700000.0,2075900000.0,15713700000.0,14634000000.0
31,30,Long-term debt,1720800000.0,1672300000.0,1425500000.0,11556300000.0,10665800000.0
32,30,Deferred taxes liabilities,,,,3150200000.0,3030900000.0
33,30,Accrued liabilities,210800000.0,329000000.0,307200000.0,264600000.0,218600000.0
34,30,Minority interest,5400000.0,2800000.0,1800000.0,1500000.0,1000000.0
35,30,Other long-term liabilities,348500000.0,247600000.0,341400000.0,741100000.0,717700000.0
36,30,Total non-current liabilities,2285500000.0,2251700000.0,2075900000.0,15713700000.0,14634000000.0
37,22,Total liabilities,3151500000.0,3283300000.0,3113900000.0,17331600000.0,17015500000.0
38,21,Stockholders' equity,5860900000.0,6297300000.0,6520800000.0,9887900000.0,9668900000.0
39,38,Common stock,2600000.0,2600000.0,2700000.0,3000000.0,3100000.0
40,38,Additional paid-in capital,3500600000.0,4000600000.0,4330700000.0,8195300000.0,8368500000.0
41,38,Retained earnings,7085900000.0,7712700000.0,8285200000.0,8347700000.0,8467100000.0
42,38,Treasury stock,-5072100000.0,-5785700000.0,-6183700000.0,-6329100000.0,-6735800000.0
43,38,Accumulated other comprehensive income,343900000.0,367100000.0,85900000.0,-329000000.0,-434000000.0
44,38,Total stockholders' equity,5860900000.0,6297300000.0,6520800000.0,9887900000.0,9668900000.0
45,21,Total liabilities and stockholders' equity,9012400000.0,9580600000.0,9634700000.0,27219500000.0,26684400000.0
