,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,55511918000.0,56031127000.0,57208874000.0,59669525000.0,63239165000.0
1,0,Cash and due from banks,1841907000.0,1175083000.0,845905000.0,798319000.0,737327000.0
2,0,Deposits with banks,5978978000.0,8175048000.0,7174134000.0,6108124000.0,1410852000.0
3,0,Federal funds sold,2775354000.0,282248000.0,1386291000.0,619758000.0,568334000.0
4,0,Trading assets,28290000.0,34559000.0,70601000.0,48168000.0,114803000.0
5,0,Debt securities,4703681000.0,5146509000.0,5357450000.0,9036908000.0,15124505000.0
6,0,Loans,37916898000.0,39214693000.0,40196520000.0,40799422000.0,42821199000.0
7,0,Allowance for loan losses,-896087000.0,-746291000.0,-604663000.0,-606048000.0,-567522000.0
8,0,Net loans,37020811000.0,38468402000.0,39591857000.0,40193374000.0,42253677000.0
9,0,Premises and equipment,708882000.0,726372000.0,829809000.0,905462000.0,1019508000.0
10,0,Goodwill,1014129000.0,1014129000.0,1014129000.0,1014129000.0,1014129000.0
11,0,Other intangible assets,50818000.0,36444000.0,25520000.0,16272000.0,8420000.0
12,0,Other assets,1389068000.0,972333000.0,913178000.0,929011000.0,987610000.0
13,0,Total assets,55511918000.0,56031127000.0,57208874000.0,59669525000.0,63239165000.0
14,14,Liabilities and stockholders' equity,55511918000.0,56031127000.0,57208874000.0,59669525000.0,63239165000.0
15,14,Liabilities,49459849000.0,49566564000.0,49839344000.0,52162006000.0,55604859000.0
16,15,Deposits,46133073000.0,46361880000.0,47847238000.0,50374091000.0,53235830000.0
17,15,Federal funds purchased,320478000.0,340348000.0,244223000.0,346987000.0,827269000.0
18,15,Short-term borrowing,5409000.0,0.0,,,
19,15,Long-term debt,2337113000.0,2273575000.0,1092282000.0,817348000.0,534850000.0
20,15,Other liabilities,663776000.0,590761000.0,655601000.0,623580000.0,1006910000.0
21,15,Total liabilities,49459849000.0,49566564000.0,49839344000.0,52162006000.0,55604859000.0
22,14,Stockholders' equity,6052069000.0,6464563000.0,7369530000.0,7507519000.0,7634306000.0
23,22,Preferred stock,1128302000.0,1003970000.0,1004011000.0,828490000.0,709601000.0
24,22,Common stock,4166109000.0,,,,
25,22,Additional paid-in capital,,4179024000.0,4723855000.0,4766731000.0,4724715000.0
26,22,Retained earnings,1203815000.0,1473670000.0,1769705000.0,1966910000.0,2321571000.0
27,22,Accumulated other comprehensive income,-446157000.0,-192101000.0,-128041000.0,-54612000.0,-121581000.0
28,22,Total stockholders' equity,6052069000.0,6464563000.0,7369530000.0,7507519000.0,7634306000.0
29,14,Total liabilities and stockholders' equity,55511918000.0,56031127000.0,57208874000.0,59669525000.0,63239165000.0
