,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,6262000000.0,6558000000.0,6607000000.0,7913000000.0,7649000000.0
1,0,Current assets,2864000000.0,3357000000.0,3465000000.0,3830000000.0,3390000000.0
2,1,Cash,317000000.0,610000000.0,882000000.0,1154000000.0,727000000.0
3,2,Cash and cash equivalents,317000000.0,610000000.0,882000000.0,1154000000.0,727000000.0
4,2,Total cash,317000000.0,610000000.0,882000000.0,1154000000.0,727000000.0
5,1,Receivables,900000000.0,1138000000.0,980000000.0,937000000.0,913000000.0
6,1,Inventories,1345000000.0,1293000000.0,1289000000.0,1467000000.0,1502000000.0
7,1,Deferred income taxes,101000000.0,97000000.0,109000000.0,,
8,1,Other current assets,201000000.0,219000000.0,205000000.0,272000000.0,248000000.0
9,1,Total current assets,2864000000.0,3357000000.0,3465000000.0,3830000000.0,3390000000.0
10,0,Non-current assets,3398000000.0,3201000000.0,3142000000.0,4083000000.0,4259000000.0
11,10,"Property, plant and equipment",1241000000.0,1295000000.0,1318000000.0,1307000000.0,1381000000.0
12,11,"Gross property, plant and equipment",2252000000.0,2323000000.0,2463000000.0,2515000000.0,2739000000.0
13,11,Accumulated Depreciation,-1011000000.0,-1028000000.0,-1145000000.0,-1208000000.0,-1358000000.0
14,11,"Net property, plant and equipment",1241000000.0,1295000000.0,1318000000.0,1307000000.0,1381000000.0
15,10,Goodwill,985000000.0,982000000.0,976000000.0,1455000000.0,1481000000.0
16,10,Intangible assets,868000000.0,803000000.0,727000000.0,1190000000.0,1228000000.0
17,10,Deferred income taxes,216000000.0,63000000.0,54000000.0,82000000.0,96000000.0
18,10,Other long-term assets,88000000.0,58000000.0,67000000.0,49000000.0,73000000.0
19,10,Total non-current assets,3398000000.0,3201000000.0,3142000000.0,4083000000.0,4259000000.0
20,0,Total assets,6262000000.0,6558000000.0,6607000000.0,7913000000.0,7649000000.0
21,21,Liabilities and stockholders' equity,6262000000.0,6558000000.0,6607000000.0,7913000000.0,7649000000.0
22,21,Liabilities,2236000000.0,5618000000.0,5296000000.0,6845000000.0,6162000000.0
23,22,Current liabilities,1123000000.0,1415000000.0,1086000000.0,1781000000.0,1117000000.0
24,23,Short-term debt,73000000.0,15000000.0,7000000.0,405000000.0,0.0
25,23,Accounts payable,319000000.0,506000000.0,290000000.0,293000000.0,265000000.0
26,23,Taxes payable,30000000.0,40000000.0,26000000.0,63000000.0,71000000.0
27,23,Accrued liabilities,194000000.0,229000000.0,713000000.0,910000000.0,688000000.0
28,23,Other current liabilities,507000000.0,625000000.0,50000000.0,110000000.0,93000000.0
29,23,Total current liabilities,1123000000.0,1415000000.0,1086000000.0,1781000000.0,1117000000.0
30,22,Non-current liabilities,1113000000.0,4203000000.0,4210000000.0,5064000000.0,5045000000.0
31,30,Long-term debt,509000000.0,3642000000.0,3643000000.0,4463000000.0,4468000000.0
32,30,Deferred taxes liabilities,323000000.0,322000000.0,277000000.0,264000000.0,244000000.0
33,30,Minority interest,15000000.0,22000000.0,26000000.0,23000000.0,12000000.0
34,30,Other long-term liabilities,266000000.0,217000000.0,264000000.0,314000000.0,321000000.0
35,30,Total non-current liabilities,1113000000.0,4203000000.0,4210000000.0,5064000000.0,5045000000.0
36,22,Total liabilities,2236000000.0,5618000000.0,5296000000.0,6845000000.0,6162000000.0
37,21,Stockholders' equity,4026000000.0,940000000.0,1311000000.0,1068000000.0,1487000000.0
38,37,Common stock,4183000000.0,5000000.0,5000000.0,5000000.0,5000000.0
39,37,Additional paid-in capital,,878000000.0,958000000.0,1012000000.0,1024000000.0
40,37,Retained earnings,,276000000.0,709000000.0,876000000.0,1477000000.0
41,37,Treasury stock,,,-0.0,-203000000.0,-421000000.0
42,37,Accumulated other comprehensive income,-157000000.0,-219000000.0,-361000000.0,-622000000.0,-598000000.0
43,37,Total stockholders' equity,4026000000.0,940000000.0,1311000000.0,1068000000.0,1487000000.0
44,21,Total liabilities and stockholders' equity,6262000000.0,6558000000.0,6607000000.0,7913000000.0,7649000000.0
