,1995-2006,ticker,company,1996-2007,ticker,company,1997-2008,ticker,company,1998-2009,ticker,company,1999-2010,ticker,company,2000-2011,ticker,company,2001-2012,ticker,company,2002-2013,ticker,company,2003-2014,ticker,company,2004-2015,ticker,company,2005-2016,ticker,company,2006-2017,ticker,company,2007-2018,ticker,company
0,11339.17%,BIIB,Biogen Inc.,39091.04%,MNST,Monster Beverage,33248.39%,MNST,Monster Beverage,14699.61%,MNST,Monster Beverage,5615.36%,MNST,Monster Beverage,9598.29%,MNST,Monster Beverage,19234.32%,MNST,Monster Beverage,20029.52%,MNST,Monster Beverage,25594.69%,MNST,Monster Beverage,20489.03%,MNST,Monster Beverage,6445.89%,MNST,Monster Beverage,6364.11%,PCLN,Priceline.com Inc,11129.45%,BHF,Brighthouse Financial Inc
1,8596.37%,MNST,Monster Beverage,9159.21%,CTSH,Cognizant Technology Solutions,8045.61%,CTSH,Cognizant Technology Solutions,7762.03%,CELG,Celgene Corp.,5287.23%,SWN,Southwestern Energy,4540.94%,SWN,Southwestern Energy,6554.74%,TSCO,Tractor Supply Company,4803.16%,AAPL,Apple Inc.,21812.19%,SBAC,SBA Communications,7536.13%,AAPL,Apple Inc.,6393.59%,NFLX,Netflix Inc.,3226.68%,NFLX,Netflix Inc.,4886.55%,NFLX,Netflix Inc.
2,7218.59%,CELG,Celgene Corp.,5185.05%,CELG,Celgene Corp.,4884.45%,CELG,Celgene Corp.,4234.40%,CTSH,Cognizant Technology Solutions,4245.76%,CELG,Celgene Corp.,2657.19%,KMX,Carmax Inc,5443.43%,PCLN,Priceline.com Inc,4237.42%,GRA,W.R. Grace,12008.33%,PCLN,Priceline.com Inc,6269.89%,PCLN,Priceline.com Inc,5794.35%,REGN,Regeneron,2244.71%,MA,Mastercard Inc.,3904.82%,PCLN,Priceline.com Inc
3,7093.21%,JBL,Jabil Circuit,3181.33%,RMD,ResMed,4630.55%,AMZN,Amazon.com Inc,2501.14%,AAPL,Apple Inc.,3481.63%,CTSH,Cognizant Technology Solutions,2569.38%,VTR,Ventas Inc,5345.38%,AAPL,Apple Inc.,2470.00%,SWN,Southwestern Energy,7997.98%,AAPL,Apple Inc.,5136.31%,ILMN,Illumina Inc,5304.62%,PCLN,Priceline.com Inc,1842.89%,TDG,TransDigm Group,2934.26%,AMZN,Amazon.com Inc
4,5932.41%,CTSH,Cognizant Technology Solutions,2683.76%,BBY,Best Buy Co. Inc.,4523.53%,BBY,Best Buy Co. Inc.,2039.19%,GILD,Gilead Sciences,2886.21%,CHK,Chesapeake Energy,2214.42%,TPR,"Tapestry, Inc.",3846.27%,FLIR,FLIR Systems,2344.52%,ISRG,Intuitive Surgical Inc.,6587.92%,NFLX,Netflix Inc.,4251.09%,ALXN,Alexion Pharmaceuticals,3949.58%,ILMN,Illumina Inc,1629.10%,ILMN,Illumina Inc,2107.24%,TDG,TransDigm Group
5,4385.98%,GILD,Gilead Sciences,2475.36%,EXPD,Expeditors International,3695.55%,AAPL,Apple Inc.,1841.96%,SWN,Southwestern Energy,2136.32%,RRC,Range Resources Corp.,2198.33%,CLF,Cliffs Natural Resources,2738.39%,ISRG,Intuitive Surgical Inc.,2218.58%,AMZN,Amazon.com Inc,6463.20%,ILMN,Illumina Inc,3611.67%,GRA,W.R. Grace,2927.78%,ALXN,Alexion Pharmaceuticals,1501.21%,DTV,DirecTV,1727.05%,DTV,DirecTV
6,2868.16%,QCOM,QUALCOMM Inc.,1914.98%,AMZN,Amazon.com Inc,3155.75%,ESRX,Express Scripts,1438.76%,ANSS,ANSYS,2077.16%,LH,Laboratory Corp. of America Holding,1997.91%,NFLX,Netflix Inc.,2613.60%,URBN,Urban Outfitters,2063.40%,CTSH,Cognizant Technology Solutions,4944.39%,GRA,W.R. Grace,2995.03%,ISRG,Intuitive Surgical Inc.,2357.55%,AAPL,Apple Inc.,1476.02%,AMZN,Amazon.com Inc,1688.84%,AVGO,Broadcom
7,2750.98%,RMD,ResMed,1870.82%,SBR,Sabre Holdings,2844.64%,GILD,Gilead Sciences,1372.23%,LH,Laboratory Corp. of America Holding,1959.04%,AAPL,Apple Inc.,1793.45%,ANSS,ANSYS,2487.53%,SWN,Southwestern Energy,2032.87%,RRC,Range Resources Corp.,3664.31%,ALXN,Alexion Pharmaceuticals,2845.74%,SBAC,SBA Communications,2093.22%,MA,Mastercard Inc.,927.91%,CXO,Concho Resources,1651.31%,ALGN,Align Technology
8,2584.05%,EXPD,Expeditors International,1698.22%,JBL,Jabil Circuit,1973.60%,NVDA,Nvidia Corporation,1366.13%,ESRX,Express Scripts,1723.01%,BLK,BlackRock,1696.70%,DNR,Denbury Resources,2377.17%,CLF,Cliffs Natural Resources,2022.90%,TSCO,Tractor Supply Company,3048.02%,CELG,Celgene Corp.,2688.92%,REGN,Regeneron,1751.24%,CRM,Salesforce.com,800.20%,NVDA,Nvidia Corporation,1556.28%,MA,Mastercard Inc.
9,2475.43%,DHI,D. R. Horton,1686.76%,IGT,International Game Technology,1966.09%,SRCL,Stericycle Inc,1324.41%,SRCL,Stericycle Inc,1586.02%,GILD,Gilead Sciences,1620.56%,SRCL,Stericycle Inc,2229.72%,CTSH,Cognizant Technology Solutions,1779.03%,CLF,Cliffs Natural Resources,3017.53%,ISRG,Intuitive Surgical Inc.,1893.94%,CELG,Celgene Corp.,1706.33%,CELG,Celgene Corp.,770.30%,ORLY,O'Reilly Automotive,1079.71%,KG,King Pharmaceuticals Inc.
10,2419.23%,LM,Legg Mason,1662.46%,TPR,"Tapestry, Inc.",1810.18%,RMD,ResMed,1176.65%,DGX,Quest Diagnostics,1562.63%,ISRG,Intuitive Surgical Inc.,1509.11%,CTSH,Cognizant Technology Solutions,1970.63%,FFIV,F5 Networks,1676.60%,PCLN,Priceline.com Inc,3013.16%,EQIX,Equinix,1827.07%,MA,Mastercard Inc.,1530.92%,TDG,TransDigm Group,737.60%,ICE,Intercontinental Exchange,1069.19%,AOS,A.O. Smith
