,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
0,131397.17%,MNST,Monster Beverage,38191.24%,AMZN,Amazon.com Inc,59862.22%,AMZN,Amazon.com Inc
1,77293.75%,BIIB,Biogen Inc.,26794.43%,CTSH,Cognizant Technology Solutions,34591.99%,CTSH,Cognizant Technology Solutions
2,54003.38%,CELG,Celgene Corp.,21166.98%,CELG,Celgene Corp.,23250.63%,CELG,Celgene Corp.
3,34851.44%,GILD,Gilead Sciences,12695.55%,ROST,Ross Stores,15743.82%,NFLX,Netflix Inc.
4,34413.54%,AMZN,Amazon.com Inc,10247.46%,NFLX,Netflix Inc.,12159.42%,NVDA,Nvidia Corporation
5,28709.63%,CTSH,Cognizant Technology Solutions,8796.63%,BIIB,Biogen Inc.,11129.45%,BHF,Brighthouse Financial Inc
6,19803.99%,ROST,Ross Stores,7647.06%,ORLY,O'Reilly Automotive,8073.90%,BIIB,Biogen Inc.
7,16288.53%,REGN,Regeneron,6890.36%,NVDA,Nvidia Corporation,7190.60%,BBY,Best Buy Co. Inc.
8,10448.71%,ATVI,Activision Blizzard,6343.59%,TSCO,Tractor Supply Company,6729.93%,APH,Amphenol Corp
9,9460.12%,NFLX,Netflix Inc.,4948.03%,SBUX,Starbucks Corp.,6531.42%,ATVI,Activision Blizzard
10,9020.48%,TJX,TJX Companies Inc.,4676.20%,COO,The Cooper Companies,6328.76%,STZ,Constellation Brands
11,8527.06%,ORLY,O'Reilly Automotive,4637.01%,APH,Amphenol Corp,6056.49%,ESRX,Express Scripts
12,8448.04%,RMD,ResMed,4588.68%,DLTR,Dollar Tree,5936.25%,ORLY,O'Reilly Automotive
13,8261.64%,ALXN,Alexion Pharmaceuticals,4174.33%,ESRX,Express Scripts,5827.01%,ISRG,Intuitive Surgical Inc.
14,8242.70%,AAPL,Apple Inc.,3997.50%,ATVI,Activision Blizzard,5729.18%,ROST,Ross Stores
15,7740.27%,SBUX,Starbucks Corp.,3693.93%,CHD,Church & Dwight,5500.25%,TSCO,Tractor Supply Company
16,7616.19%,ESRX,Express Scripts,3624.24%,STZ,Constellation Brands,4807.66%,BLK,BlackRock
17,6996.12%,TSCO,Tractor Supply Company,3499.93%,BLK,BlackRock,4425.81%,EBAY,eBay
18,6507.21%,DLTR,Dollar Tree,3473.70%,EBAY,eBay,4368.56%,UNH,United Health Group Inc.
19,5280.93%,JBL,Jabil Circuit,3440.61%,SBR,Sabre Holdings,4181.78%,ANSS,ANSYS
20,5115.14%,SRCL,Stericycle Inc,3374.90%,ISRG,Intuitive Surgical Inc.,4134.82%,MTD,Mettler Toledo
21,4526.21%,AN,AutoNation Inc,3249.13%,CTXS,Citrix Systems,3763.92%,JBHT,J. B. Hunt Transport Services
22,4208.94%,COO,The Cooper Companies,3030.47%,ESS,"Essex Property Trust, Inc.",3666.39%,SBUX,Starbucks Corp.
23,4178.50%,UHS,"Universal Health Services, Inc.",3015.45%,ANSS,ANSYS,3439.10%,CERN,Cerner
24,4071.29%,CB,Chubb Corp,2988.90%,BBY,Best Buy Co. Inc.,3379.97%,QCOM,QUALCOMM Inc.
25,4007.27%,QCOM,QUALCOMM Inc.,2975.47%,QCOM,QUALCOMM Inc.,3375.83%,MA,Mastercard Inc.
26,3957.97%,ABC,AmerisourceBergen Corp,2720.51%,JBHT,J. B. Hunt Transport Services,3354.19%,CNC,Centene Corporation
27,3901.87%,EXPD,Expeditors International,2713.85%,MTD,Mettler Toledo,3247.44%,CHD,Church & Dwight
28,3881.61%,TWX,Time Warner Inc.,2706.53%,SIG,Signet Jewelers,3136.33%,DHR,Danaher Corp.
29,3880.73%,PSA,Public Storage,2572.09%,ETN,Eaton Corporation,3088.48%,INTU,Intuit
30,3792.76%,ESS,"Essex Property Trust, Inc.",2553.32%,COST,Costco Wholesale Corp.,2905.77%,FLIR,FLIR Systems
31,3768.59%,MO,Altria Group Inc,2474.06%,CB,Chubb Corp,2892.84%,ROP,Roper Technologies
32,3736.79%,CHD,Church & Dwight,2437.79%,FLIR,FLIR Systems,2856.15%,BCR,Bard (C.R.) Inc.
33,3676.28%,DISH,Dish Network,2421.06%,AYI,Acuity Brands Inc,2833.30%,BLL,Ball Corp
34,3624.83%,APH,Amphenol Corp,2386.18%,PSA,Public Storage,2670.15%,DLTR,Dollar Tree
35,3605.34%,VLO,Valero Energy,2301.31%,FISV,Fiserv Inc,2601.47%,AOS,A.O. Smith
36,3498.24%,ROP,Roper Technologies,2244.71%,MA,Mastercard Inc.,2570.09%,COO,The Cooper Companies
37,3370.11%,SWKS,Skyworks Solutions,2137.05%,CMI,Cummins Inc.,2552.63%,CME,CME Group Inc.
38,3298.70%,NKE,Nike,2136.31%,ROP,Roper Technologies,2498.63%,SBR,Sabre Holdings
39,3207.69%,EBAY,eBay,2127.59%,ABC,AmerisourceBergen Corp,2454.47%,WAT,Waters Corporation
40,3083.85%,INCY,Incyte,2117.52%,UNH,United Health Group Inc.,2389.79%,DRI,Darden Restaurants
